class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
ArmorUpgrade	REGISTERED	ArmorUpgrade	3	3	yes	6	0x0011D090 0x00129C10 0x0012AF20 0x002D2AB0 0x002D2B20 0x007EFFF0
ArrowStormUpdate	REGISTERED	ArrowStormUpdate	2	1	no	7	0x00118EB0 0x00118F30 0x002575D0 0x00257650 0x002576E0 0x002578B0 0x00257940
AssaultTransportAIUpdate	REGISTERED	AssaultTransportAIUpdate	1	1	yes	13	0x001187F0 0x00118870 0x00271DB0 0x0027E4E0 0x0027EAE0 0x002B4450 0x002B4650 0x002B46F0 0x002B47A0 0x002B4850 0x002B4950 0x002B4AB0 +1-more-see---rows
AssistedTargetingUpdate	REGISTERED	AssistedTargetingUpdate	1	1	yes	8	0x00117C40 0x001237B0 0x0027FB60 0x0027FC20 0x0027FCE0 0x005BF290 0x007EFFF0 0x00852130
AttributeModifierAuraUpdate	REGISTERED	AttributeModifierAuraUpdate	2	1	no	9	0x0011A8D0 0x0011A950 0x0027FF70 0x002800D0 0x00280210 0x002802A0 0x002803F0 0x00280B20 0x00280C40
AttributeModifierUpgrade	REGISTERED	AttributeModifierUpgrade	1	1	no	5	0x0011DE20 0x00129C10 0x0012B950 0x002D2EB0 0x002D2F10
AudioLoopUpgrade	REGISTERED	AudioLoopUpgrade	1	1	no	3	0x0011E0B0 0x002D31D0 0x002D32B0
AutoAbilityBehavior	REGISTERED	AutoAbilityBehavior	1	1	no	8	0x00114F10 0x00114F90 0x001ED6A0 0x001ED6E0 0x001ED790 0x001ED8A0 0x001EDC00 0x001EDCA0
AutoDepositUpdate	REGISTERED	AutoDepositUpdate	1	1	yes	8	0x0011A600 0x00123E90 0x00123F20 0x00125930 0x00125960 0x00280D90 0x00280E20 0x007EFFF0
AutoFindHealingUpdate	REGISTERED	AutoFindHealingUpdate	1	1	yes	7	0x00119780 0x00119800 0x00281430 0x00281480 0x002814F0 0x002817B0 0x007EFFF0
AutoHealBehavior	REGISTERED	AutoHealBehavior	2	1	yes	13	0x00048B9E 0x00114200 0x00129D50 0x00129E40 0x0012A8E0 0x0012A910 0x001EEB00 0x001EEC30 0x001EECB0 0x001EED50 0x00204F30 0x006CF660 +1-more-see---rows
AutoHealBehaviorModuleData	REGISTERED	AutoHealBehavior	2	1	yes	13	0x00048B9E 0x00114200 0x00129D50 0x00129E40 0x0012A8E0 0x0012A910 0x001EEB00 0x001EEC30 0x001EECB0 0x001EED50 0x00204F30 0x006CF660 +1-more-see---rows
AutoPickUpUpdate	REGISTERED	AutoPickUpUpdate	8	1	no	9	0x00119AB0 0x00119B30 0x002818B0 0x00281AB0 0x00281BC0 0x00281C50 0x00281F40 0x002827E0 0x00282A80
BaikonurLaunchPower	ABSENT	BaikonurLaunchPower	0	0	yes	3	0x0011F8B0 0x00212C10 0x0077F760
BannerCarrierUpdate	REGISTERED	BannerCarrierUpdate	1	1	no	6	0x00119BC0 0x00119C40 0x002833A0 0x00284600 0x00284AA0 0x00285F10
BaseRegenerateUpdate	ABSENT	BaseRegenerateUpdate	0	0	yes	2	0x00117E40 0x0028C2A0
BaseUpgrade	REGISTERED	BaseUpgrade	1	1	no	6	0x0011D110 0x0011D190 0x002D3800 0x002D3870 0x002D3C50 0x002D3D20
BattleBusSlowDeathBehavior	ABSENT	BattleBusSlowDeathBehavior	0	0	yes	0	
BattlePlanUpdate	REGISTERED	BattlePlanUpdate	1	1	yes	18	0x000B2280 0x00119CD0 0x00119D50 0x00204ED0 0x00285550 0x00285650 0x00285760 0x002857E0 0x00285870 0x002858B0 0x002858E0 0x00285920 +5-more-see---rows
BeaconClientUpdate	REGISTERED	BeaconClientUpdate	1	1	yes	6	0x00121B70 0x00121BF0 0x006030C0 0x00603130 0x006031C0 0x007EFFF0
BehaviorModule	UNREGISTERED_NAMED	BehaviorModule	1	1	no	39	0x00213380 0x006CF680
BezierProjectileBehavior	REGISTERED	BezierProjectileBehavior	1	1	no	9	0x00115240 0x001152C0 0x001EFD50 0x001F00A0 0x001F0240 0x001F03F0 0x001F08B0 0x001F1470 0x001F1CE0
BloodthirstyUpdate	REGISTERED	BloodthirstyUpdate	1	1	no	4	0x00114030 0x00286EC0 0x00286F80 0x00287070
BoneFXDamage	REGISTERED	BoneFXDamage	3	2	yes	7	0x0011E800 0x00122D80 0x00250740 0x002507C0 0x00250880 0x00250940 0x00852130
BoneFXUpdate	REGISTERED	BoneFXUpdate	3	2	yes	17	0x0000264E 0x00003625 0x00016A04 0x0002F775 0x00033C2B 0x00117CC0 0x00123830 0x00287A50 0x00288340 0x00288490 0x00288E40 0x00288ED0 +5-more-see---rows
BridgeBehavior	REGISTERED	BridgeBehavior	2	1	yes	28	0x00114790 0x00114810 0x0011A150 0x001F1F30 0x001F1F70 0x001F1FB0 0x001F1FD0 0x001F2450 0x001F2530 0x001F2AF0 0x001F3390 0x001F3610 +15-more-see---rows
BridgeScaffoldBehavior	REGISTERED	BridgeScaffoldBehavior	1	1	yes	9	0x0001002D 0x001148B0 0x00131DB0 0x00160EA0 0x001F5860 0x001F58C0 0x001F5940 0x001F5B00 0x001F5E80
BridgeTowerBehavior	REGISTERED	BridgeTowerBehavior	1	1	yes	9	0x00114930 0x0011A150 0x00125220 0x001F5FA0 0x001F6000 0x001F60F0 0x006CF660 0x007EFFF0 0x00852130
BroadcastStealthUpdate	REGISTERED	BroadcastStealthUpdate	1	1	no	9	0x0011B370 0x0012A2E0 0x0012A350 0x0012ADF0 0x00289800 0x00289880 0x00289A10 0x00289D40 0x00289E50
BuildingBehavior	REGISTERED	BuildingBehavior	1	1	no	4	0x00114670 0x001F6780 0x001F6840 0x001F6C70
BunkerBusterBehavior	ABSENT	BunkerBusterBehavior	0	0	yes	1	0x0020D5C0
CashBountyPower	ABSENT	CashBountyPower	0	0	yes	0	
CashHackSpecialPower	REGISTERED	CashHackSpecialPower	1	1	yes	19	0x0000EF11 0x00096060 0x000FB9C0 0x0010BDB0 0x0011FD70 0x0011FDF0 0x001281B0 0x00258250 0x00258300 0x002584C0 0x00258560 0x00258590 +6-more-see---rows
CastleBehavior	REGISTERED	CastleBehavior	3	1	no	13	0x00114440 0x0036F0A0 0x0036F750 0x0036F8D0 0x0036FD20 0x00371290 0x00371460 0x00371550 0x00372090 0x003728E0 0x00372B10 0x00375000 +1-more-see---rows
CastleMemberBehavior	REGISTERED	CastleMemberBehavior	1	1	no	6	0x00114550 0x0036BBA0 0x0036CB60 0x0036CDD0 0x0036CEA0 0x0036DBD0
CastleUpgrade	REGISTERED	CastleUpgrade	1	1	no	6	0x0011DEA0 0x00129C10 0x0012BA80 0x002D3E30 0x002D3E90 0x002D3F90
CaveContain	REGISTERED	CaveContain	1	1	yes	10	0x00115AB0 0x0012ABC0 0x00219850 0x00219AF0 0x00219B90 0x00219D70 0x00219E80 0x00227200 0x005BF290 0x007EFFF0
CheckpointUpdate	ABSENT	CheckpointUpdate	0	0	yes	2	0x0020D5C0 0x005BF290
ChinookAIUpdate	ABSENT	ChinookAIUpdate	0	0	yes	2	0x002282B0 0x00248F00
CivilianSpawnCollide	REGISTERED	CivilianSpawnCollide	1	1	no	6	0x0011F210 0x0011F290 0x00217360 0x002173E0 0x00217440 0x002175C0
CivilianSpawnUpdate	REGISTERED	CivilianSpawnUpdate	2	1	no	7	0x00116AE0 0x00116B60 0x0028A2F0 0x0028A3C0 0x0028A480 0x0028A530 0x0028A5A0
CleanupAreaPower	ABSENT	CleanupAreaPower	0	0	yes	0	
CleanupHazardUpdate	ABSENT	CleanupHazardUpdate	0	0	yes	2	0x0011AE40 0x002D0620
ClearanceTestingSlowDeathBehavior	REGISTERED	ClearanceTestingSlowDeathBehavior	1	1	no	6	0x00117290 0x00117310 0x001F70A0 0x001F7140 0x001F72D0 0x001F73C0
ClickReactionBehavior	REGISTERED	ClickReactionBehavior	2	1	no	5	0x00114C60 0x00114CF0 0x001F7860 0x001F7930 0x002001A0
CloudBreakSpecialPower	REGISTERED	CloudBreakSpecialPower	1	1	no	7	0x001205F0 0x00120670 0x00259010 0x00259060 0x00259090 0x00259130 0x002592A0
CollideModule	UNREGISTERED_NAMED	CollideModule	1	1	no	5	0x0011A150 0x00124080 0x00217620 0x0027E4E0 0x0027EAE0
CombineHordeSpecialPower	REGISTERED	CombineHordeSpecialPower	1	1	no	7	0x00121840 0x001218C0 0x002596F0 0x00259740 0x002597D0 0x00259870 0x002598A0
CommandButtonHuntUpdate	REGISTERED	CommandButtonHuntUpdate	2	1	yes	8	0x00119890 0x00119910 0x0027F130 0x0028AAE0 0x0028AB20 0x0028AC00 0x005BF290 0x007EFFF0
CommandSetUpgrade	REGISTERED	CommandSetUpgrade	1	1	yes	8	0x0011D220 0x0012AF80 0x0012B010 0x0012B040 0x0012B0B0 0x002D41A0 0x002D4210 0x007EFFF0
ContestableContain	REGISTERED	ContestableContain	2	1	no	6	0x00116140 0x001165C0 0x0021B6F0 0x0021B8D0 0x0021BEE0 0x00249B50
ConvertToCarBombCrateCollide	ABSENT	ConvertToCarBombCrateCollide	0	0	yes	3	0x00125E40 0x00217870 0x00217930
ConvertToHijackedVehicleCrateCollide	ABSENT	ConvertToHijackedVehicleCrateCollide	0	0	yes	1	0x005BF290
CostModifierUpgrade	REGISTERED	CostModifierUpgrade	4	2	yes	6	0x0011D9D0 0x001F8970 0x002D4570 0x002D4610 0x002D4C00 0x007EFFF0
CountermeasuresBehavior	ABSENT	CountermeasuresBehavior	0	0	yes	4	0x00123180 0x001EED50 0x001F7140 0x005BF290
CountermeasuresBehaviorModuleData	ABSENT	CountermeasuresBehavior	0	0	yes	4	0x00123180 0x001EED50 0x001F7140 0x005BF290
CreateCrateDie	REGISTERED	CreateCrateDie	2	1	yes	12	0x00117760 0x00123290 0x001298D0 0x00129970 0x001299A0 0x00129A30 0x00253DB0 0x00253E70 0x00253ED0 0x002543B0 0x00379440 0x007EFFF0
CreateCrateDieModuleData	REGISTERED	CreateCrateDie	2	1	yes	12	0x00117760 0x00123290 0x001298D0 0x00129970 0x001299A0 0x00129A30 0x00253DB0 0x00253E70 0x00253ED0 0x002543B0 0x00379440 0x007EFFF0
CreateObjectDie	REGISTERED	CreateObjectDie	1	1	yes	8	0x001177E0 0x00117860 0x00123290 0x00254680 0x002546E0 0x002547E0 0x002548A0 0x007EFFF0
CritterEmitterUpdate	REGISTERED	CritterEmitterUpdate	1	1	no	8	0x00115730 0x00121950 0x001FA3A0 0x001FA750 0x0028B600 0x0028B6A0 0x0028B750 0x0028B7E0
CrushDie	REGISTERED	CrushDie	2	1	yes	9	0x00117900 0x00123350 0x00123380 0x00123460 0x00125590 0x001255C0 0x00254B90 0x00254BF0 0x007EFFF0
CrushDieModuleData	REGISTERED	CrushDie	2	1	yes	9	0x00117900 0x00123350 0x00123380 0x00123460 0x00125590 0x001255C0 0x00254B90 0x00254BF0 0x007EFFF0
DamDie	ABSENT	DamDie	0	0	yes	1	0x00122EB0
DamageModule	UNREGISTERED_NAMED	DamageModule	1	1	no	5	0x0011A150 0x00124080 0x0020E4A0 0x0027E4E0 0x0027EAE0
DamageModuleData	UNREGISTERED_NAMED	Damage	192	13	no	2	0x00122D60 0x005BF290
DarknessSpecialPower	REGISTERED	DarknessSpecialPower	1	1	no	8	0x00120920 0x001209A0 0x00259B80 0x00259BD0 0x00259C00 0x00259CA0 0x00259EB0 0x002693E0
DefaultProductionExitUpdate	REGISTERED	DefaultProductionExitUpdate	1	1	yes	13	0x00117D40 0x00123910 0x002CFC30 0x002CFCA0 0x002CFCD0 0x002CFD40 0x002CFE50 0x002CFEE0 0x002CFF10 0x002D0030 0x005BF290 0x007EFFF0 +1-more-see---rows
DefectorSpecialPower	REGISTERED	DefectorSpecialPower	1	1	yes	9	0x0011FE80 0x0011FF00 0x00259F50 0x00259FA0 0x00259FD0 0x0025A060 0x0025A110 0x0026AE90 0x007EFFF0
DeflectSpecialPower	REGISTERED	DeflectSpecialPower	1	1	no	6	0x00120B40 0x00120BC0 0x0025A1B0 0x0025A410 0x0025A600 0x0025A660
DelayedDeathBody	REGISTERED	DelayedDeathBody	1	1	no	6	0x0011F830 0x00212810 0x00212880 0x002128B0 0x00212950 0x00212C10
DelayedLuaEventUpdate	REGISTERED	DelayedLuaEventUpdate	1	1	no	6	0x0011BC70 0x0011BCF0 0x0028BBF0 0x0028BCB0 0x0028BD60 0x0028BEF0
DelayedUpgrade	REGISTERED	DelayedUpgrade	1	1	no	6	0x0011D2A0 0x00129C10 0x0012B200 0x002D4D20 0x002D4D90 0x002D4E90
DeletionUpdate	REGISTERED	DeletionUpdate	2	1	yes	10	0x0008A950 0x0008AEA0 0x0008DDB0 0x00117EF0 0x001239B0 0x0027F130 0x0028C4B0 0x0028C520 0x0028C620 0x007EFFF0
DeliverPayloadAIUpdate	ABSENT	DeliverPayloadAIUpdate	0	0	yes	5	0x005052C0 0x005BF290 0x006371B0 0x00750530 0x00C02149
DemoTrapUpdate	REGISTERED	DemoTrapUpdate	1	1	yes	6	0x001199A0 0x00119A20 0x0028C7F0 0x0028C870 0x0028C9E0 0x007EFFF0
DemoralizeSpecialPower	ABSENT	DemoralizeSpecialPower	0	0	yes	0	
DeployStyleAIUpdate	REGISTERED	DeployStyleAIUpdate	1	1	yes	9	0x000D87E0 0x00118670 0x001186F0 0x0027E4E0 0x0027EAE0 0x0027EC50 0x002B5470 0x002B5510 0x007EFFF0
DestroyDie	REGISTERED	DestroyDie	2	2	yes	5	0x00117990 0x00122ED0 0x00254F80 0x00254FE0 0x007EFFF0
DestroyEnvironmentUpdate	REGISTERED	DestroyEnvironmentUpdate	1	1	no	6	0x0011C420 0x0011C4A0 0x0028CD30 0x0028CD70 0x0028CE00 0x0028D0C0
DetachableRiderBody	REGISTERED	DetachableRiderBody	2	1	no	4	0x0011FA50 0x00212DB0 0x00212EC0 0x002131B0
DetachableRiderUpdate	REGISTERED	DetachableRiderUpdate	2	1	no	4	0x0011CAF0 0x0028D580 0x0028D640 0x0028DC60
DevastateSpecialPower	REGISTERED	DevastateSpecialPower	1	1	no	7	0x00121510 0x00121590 0x0025A7C0 0x0025A810 0x0025A840 0x0025A8E0 0x0025AC10
DieModuleData	UNREGISTERED_NAMED	Die	31	12	no	4	0x00101D50 0x00101EB0 0x00102060 0x00122EB0
DominateEnemySpecialPower	REGISTERED	DominateEnemySpecialPower	1	1	no	7	0x00122140 0x001221C0 0x0025AC90 0x0025ACF0 0x0025AD50 0x0025AD90 0x0025AE70
DozerAIUpdate	REGISTERED	DozerAIUpdate	1	1	yes	21	0x0002BFF8 0x00117FA0 0x00118020 0x00230800 0x002B6640 0x002B6750 0x002B68B0 0x002B68D0 0x002B6900 0x002B6960 0x002B6A10 0x002B6B80 +8-more-see---rows
DualWeaponBehavior	REGISTERED	DualWeaponBehavior	1	1	no	5	0x00115020 0x001150A0 0x001F7E20 0x001F7E60 0x001F7F20
DumbProjectileBehavior	ABSENT	DumbProjectileBehavior	0	0	yes	2	0x005BF290
DynamicGeometryInfoUpdate	ABSENT	DynamicGeometryInfoUpdate	0	0	yes	0	
DynamicPortalBehaviour	REGISTERED	DynamicPortalBehaviour	1	1	no	4	0x001156B0 0x001F8B80 0x001F8C80 0x001F8D10
DynamicShroudClearingRangeUpdate	REGISTERED	DynamicShroudClearingRangeUpdate	1	1	yes	11	0x001180B0 0x00118130 0x0028E3A0 0x0028E410 0x0028E5A0 0x0028E630 0x0028E700 0x0028E760 0x0028EBF0 0x0028ECA0 0x007EFFF0
EMPUpdate	ABSENT	EMPUpdate	0	0	yes	1	0x005BF290
EjectPilotDie	ABSENT	EjectPilotDie	0	0	yes	2	0x0011A150 0x00123290
ElvenWoodSpecialPower	REGISTERED	ElvenWoodSpecialPower	2	1	no	8	0x001202C0 0x00120340 0x0025B2B0 0x0025B300 0x0025B510 0x0025B5B0 0x0025CA40 0x0025CC80
EmotionTrackerUpdate	REGISTERED	EmotionTrackerUpdate	2	1	no	7	0x0011CE60 0x0011CEE0 0x0028F910 0x0028FBB0 0x0028FCC0 0x0028FDF0 0x00290740
EnemyNearUpdate	ABSENT	EnemyNearUpdate	0	0	yes	1	0x005BF290
EnragedBehavior	REGISTERED	EnragedBehavior	1	1	no	6	0x00114A40 0x00114AD0 0x001FAC00 0x001FACC0 0x00203E60 0x00203F30
EntEnragedUpdate	REGISTERED	EntEnragedUpdate	1	1	no	3	0x0011CF80 0x00291A00 0x00291AF0
EvacuateDamage	REGISTERED	EvacuateDamage	1	1	no	7	0x0011EA10 0x0011EA90 0x00250C20 0x00251060 0x00251170 0x00251200 0x00251460
ExperienceLevelCreate	REGISTERED	ExperienceLevelCreate	1	1	no	5	0x0011E5F0 0x0011E670 0x0024F560 0x0024F5E0 0x0024F7A0
ExperienceScalarUpgrade	REGISTERED	ExperienceScalarUpgrade	1	1	yes	7	0x0011DAF0 0x0011DB70 0x002D4FD0 0x002D5040 0x002D5180 0x002D51E0 0x007EFFF0
FXListDie	REGISTERED	FXListDie	1	1	yes	8	0x00117A20 0x0011A150 0x001234F0 0x00123590 0x00255360 0x002553C0 0x005BF290 0x007EFFF0
FadeAndDieOrnamentUpdate	REGISTERED	FadeAndDieOrnamentUpdate	1	1	no	6	0x0011B5B0 0x00125B30 0x00125BD0 0x00126E70 0x00292230 0x002922F0
FellBeastSwoopPower	REGISTERED	FellBeastSwoopPower	1	1	no	7	0x001210D0 0x00121150 0x0025CF10 0x0025CF40 0x0025CFA0 0x0025CFE0 0x0025D0B0
FireOCLAfterWeaponCooldownUpdate	ABSENT	FireOCLAfterWeaponCooldownUpdate	0	0	yes	1	0x00123180
FireSpreadUpdate	REGISTERED	FireSpreadUpdate	2	1	yes	9	0x001181C0 0x00118240 0x00292680 0x002926C0 0x00292780 0x00292840 0x00292900 0x00292AF0 0x007EFFF0
FireWeaponCollide	REGISTERED	FireWeaponCollide	1	1	yes	9	0x0011EB20 0x00127D00 0x00216220 0x00216390 0x00216420 0x00216430 0x005BF290 0x007EFFF0 0x00852130
FireWeaponPower	ABSENT	FireWeaponPower	0	0	yes	0	
FireWeaponUpdate	REGISTERED	FireWeaponUpdate	1	1	yes	7	0x001182D0 0x00118350 0x00292B50 0x00292C10 0x00292CB0 0x00292CF0 0x007EFFF0
FireWeaponWhenDamagedBehavior	REGISTERED	FireWeaponWhenDamagedBehavior	1	1	yes	9	0x0002A379 0x00116F30 0x00117420 0x001298A0 0x0012A100 0x001FB4B0 0x001FBA60 0x005BF290 0x007EFFF0
FireWeaponWhenDamagedBehaviorModuleData	REGISTERED	FireWeaponWhenDamagedBehavior	1	1	yes	9	0x0002A379 0x00116F30 0x00117420 0x001298A0 0x0012A100 0x001FB4B0 0x001FBA60 0x005BF290 0x007EFFF0
FireWeaponWhenDeadBehavior	REGISTERED	FireWeaponWhenDeadBehavior	1	1	yes	11	0x00116FC0 0x0011A150 0x0012A1C0 0x0012A250 0x0012AD30 0x0012AD60 0x001F8920 0x001F8930 0x001FBC70 0x001FBED0 0x007EFFF0
FirestormDynamicGeometryInfoUpdate	ABSENT	FirestormDynamicGeometryInfoUpdate	0	0	yes	2	0x002BC190 0x005BF290
FlammableUpdate	REGISTERED	FlammableUpdate	1	1	yes	17	0x001183E0 0x00118460 0x00292FAD 0x00293010 0x00293040 0x00293270 0x002933B0 0x00293440 0x00293520 0x00293800 0x00293990 0x00294B20 +5-more-see---rows
FlightDeckBehavior	ABSENT	FlightDeckBehavior	0	0	yes	30	0x000FB9C0 0x0010BDB0 0x0011FAD0 0x001DE420 0x001DE670 0x001DE7E0 0x002131B0 0x0022FDE0 0x0022FE20 0x0022FE80 0x0022FEE0 0x00231A00 +10-more-see---rows
FloatUpdate	REGISTERED	FloatUpdate	1	1	yes	6	0x00118500 0x00118580 0x00294F60 0x00294F90 0x00295010 0x007EFFF0
FoundationAIUpdate	REGISTERED	FoundationAIUpdate	2	1	no	7	0x001143B0 0x00122E30 0x002B9D60 0x002B9F80 0x002BA040 0x002BA940 0x00852130
FreeLifeBody	REGISTERED	FreeLifeBody	1	1	no	6	0x0011F940 0x002132B0 0x002132F0 0x00213390 0x00213410 0x002136E0
FreezingRainSpecialPower	REGISTERED	FreezingRainSpecialPower	1	1	no	7	0x00120810 0x00120890 0x0025D590 0x0025D5E0 0x0025D610 0x0025D6B0 0x0025D8C0
GarrisonContain	REGISTERED	GarrisonContain	3	2	yes	33	0x0000AE93 0x000B98F0 0x000BA6F0 0x000BC2A0 0x000C4500 0x000FB9C0 0x0010BDB0 0x00116040 0x00116250 0x001230B0 0x0021D750 0x0021D820 +21-more-see---rows
GateOpenAndCloseBehavior	REGISTERED	GateOpenAndCloseBehavior	1	1	no	6	0x00119DE0 0x00123AB0 0x001FC4B0 0x001FC580 0x001FCB50 0x001FCEC0
GateProxyBehavior	REGISTERED	GateProxyBehavior	1	1	no	5	0x00119E70 0x0011A1D0 0x00123BF0 0x001FCB50 0x001FCEC0
GenerateMinefieldBehavior	ABSENT	GenerateMinefieldBehavior	0	0	yes	4	0x0011DA50 0x00123180 0x001EE8F0 0x001EE900
GeometryUpgrade	REGISTERED	GeometryUpgrade	1	1	no	7	0x0011DF20 0x0011DFA0 0x002D5790 0x002D5840 0x002D5900 0x002D5CE0 0x002D5DD0
GettingBuiltBehavior	REGISTERED	GettingBuiltBehavior	1	1	no	5	0x00114320 0x001FE190 0x001FE260 0x001FE380 0x001FE510
GiantBirdAIUpdate	REGISTERED	GiantBirdAIUpdate	2	1	no	6	0x00118910 0x00118990 0x002BC190 0x002C2430 0x002C2640 0x002C2720
GiantBirdSlowDeathBehavior	REGISTERED	GiantBirdSlowDeathBehavior	1	1	no	7	0x001157D0 0x00115850 0x001FFB40 0x001FFC10 0x001FFD40 0x001FFE40 0x001FFF50
GiveUpgradeUpdate	REGISTERED	GiveUpgradeUpdate	1	1	no	9	0x0011AB00 0x0011AB80 0x0025D9A0 0x0025DA10 0x0025DB10 0x0025DBE0 0x0025DCF0 0x0025DE90 0x0025E4B0
GloriousChargeUpdate	REGISTERED	GloriousChargeUpdate	1	1	no	6	0x0011C750 0x0011C7D0 0x0025E890 0x0025E9B0 0x0025EA40 0x25e7c0
GrabPassengerSpecialPower	REGISTERED	GrabPassengerSpecialPower	1	1	no	7	0x00120A30 0x00120AB0 0x0025F0E0 0x0025F130 0x0025F160 0x0025F1F0 0x0025F260
GrantScienceUpgrade	ABSENT	GrantScienceUpgrade	0	0	yes	1	0x005BF290
GrantStealthBehavior	ABSENT	GrantStealthBehavior	0	0	yes	3	0x002978A0 0x00297D30 0x00297D60
GrantUpgradeCreate	REGISTERED	GrantUpgradeCreate	1	1	yes	10	0x0011E4E0 0x0011E560 0x0024F860 0x0024F8B0 0x0024F8E0 0x0024F9A0 0x0024F9D0 0x0024FA80 0x0024FB90 0x007EFFF0
HackInternetAIUpdate	ABSENT	HackInternetAIUpdate	0	0	yes	1	0x005BF290
HealContain	REGISTERED	HealContain	1	1	yes	7	0x00115B40 0x001219D0 0x00220190 0x002202B0 0x0028B9E0 0x0028BA40 0x007EFFF0
HealCrateCollide	REGISTERED	HealCrateCollide	1	1	yes	10	0x0011EDC0 0x0011EE50 0x00125E40 0x00217870 0x00217AD0 0x00217B20 0x00217B50 0x00217BE0 0x00217C10 0x007EFFF0
HeightDieUpdate	REGISTERED	HeightDieUpdate	1	1	yes	6	0x00118A20 0x00118AA0 0x00295500 0x00295550 0x002955E0 0x007EFFF0
HelicopterSlowDeathBehavior	ABSENT	HelicopterSlowDeathBehavior	0	0	yes	0	
HelixContain	ABSENT	HelixContain	0	0	yes	0	
HeroDie	REGISTERED	HeroDie	1	1	no	5	0x0011FCF0 0x00124950 0x00255600 0x00255670 0x002556D0
HeroModeSpecialAbilityUpdate	REGISTERED	HeroModeSpecialAbilityUpdate	1	1	no	8	0x00119130 0x001191B0 0x0025F8A0 0x0025F900 0x0025F940 0x0025F9E0 0x0025FAC0 0x0025FB80
HighlanderBody	REGISTERED	HighlanderBody	1	1	yes	6	0x0011F4B0 0x002137B0 0x00213800 0x00213830 0x002138C0 0x007EFFF0
HijackerUpdate	REGISTERED	HijackerUpdate	1	1	yes	11	0x0006E2B0 0x0006E2F0 0x0006E320 0x0011B4F0 0x00126D50 0x002921F0 0x00295AA0 0x00295AB0 0x00295B20 0x00295BB0 0x007EFFF0
HitReactionBehavior	REGISTERED	HitReactionBehavior	1	1	no	6	0x00114BE0 0x0011D000 0x00200200 0x002002C0 0x00291950 0x00291EB0
HiveStructureBody	ABSENT	HiveStructureBody	0	0	yes	1	0x00248F00
HiveStructureBodyModuleData	ABSENT	HiveStructureBody	0	0	yes	1	0x00248F00
HordeAIUpdate	REGISTERED	HordeAIUpdate	1	1	no	6	0x00123FB0 0x0027E4E0 0x0027EAE0 0x002C4310 0x002C43A0 0x002C4790
HordeContain	REGISTERED	HordeContain	17	4	no	7	0x00115BC0 0x00115D60 0x00129E90 0x00220530 0x0023EAF0 0x0023EF00 0x0023EF90
HordeGarrisonContain	REGISTERED	HordeGarrisonContain	1	1	no	6	0x00115FB0 0x001160C0 0x00248F90 0x00249080 0x00249820 0x0024D190
HordeMemberCollide	REGISTERED	HordeMemberCollide	1	1	no	5	0x0011ED40 0x00124890 0x00216790 0x002167A0 0x00216800
HordeSiegeEngineContain	REGISTERED	HordeSiegeEngineContain	2	1	no	7	0x00116360 0x001163F0 0x0022B0E0 0x0022CB80 0x0024A180 0x0024A2C0 0x0024A560
HordeTransportContain	REGISTERED	HordeTransportContain	2	1	no	7	0x00115F30 0x0024B6F0 0x0024B8E0 0x0024BD70 0x0024C530 0x0024CD10 0x0024D190
HordeUpdate	ABSENT	HordeUpdate	0	0	yes	7	0x001FE190 0x001FE260 0x001FE790 0x0020D5C0 0x00297500 0x00297510 0x00297530
