table_rva,ini_key,bfme_offset,upstream_class,upstream_member,votes,margin,notes
0x00c77018,LiveCampaignMode,0x8e,,,321,314,no upstream key
0x00c77018,HideLivingWorldRegions,0x8f,,,321,314,no upstream key
0x00c77018,LivingWorldCampaignOverrride,0x94,,,321,314,no upstream key
0x00c77018,LivingWorldTurbo,0x90,,,321,314,no upstream key
0x00c77018,DrawEntireTerrain,0x50,GlobalData,m_drawEntireTerrain,321,314,
0x00c77018,TerrainLOD,0x54,GlobalData,m_terrainLOD,321,314,
0x00c77018,TerrainLODTargetTimeMS,0x5c,GlobalData,m_terrainLODTargetTimeMS,321,314,
0x00c77018,RightMouseAlwaysScrolls,0x61,GlobalData,m_rightMouseAlwaysScrolls,321,314,
0x00c77018,UseWaterPlane,0x62,GlobalData,m_useWaterPlane,321,314,
0x00c77018,UseCloudPlane,0x63,GlobalData,m_useCloudPlane,321,314,
0x00c77018,DownwindAngle,0x17c,GlobalData,m_downwindAngle,321,314,
0x00c77018,UseShadowVolumes,0x64,GlobalData,m_useShadowVolumes,321,314,vote picked from StaticGameLODInfo::m_useShadowVolumes
0x00c77018,UseShadowDecals,0x65,GlobalData,m_useShadowDecals,321,314,vote picked from StaticGameLODInfo::m_useShadowDecals
0x00c77018,ShowSelectedUnitMarker,0xa75,,,321,314,no upstream key
0x00c77018,UseSimpleHordeDecals,0xa76,,,321,314,no upstream key
0x00c77018,UseSimpleMergeDecals,0xa77,,,321,314,no upstream key
0x00c77018,OpacityOfSimpleMergeDecals,0xa78,,,321,314,no upstream key
0x00c77018,TextureReductionFactor,0x68,GlobalData,m_textureReductionFactor,321,314,vote picked from StaticGameLODInfo::m_textureReduction
0x00c77018,UseBehindBuildingMarker,0x70,GlobalData,m_enableBehindBuildingMarkers,321,314,
0x00c77018,WaterPositionX,0x74,GlobalData,m_waterPositionX,321,314,
0x00c77018,WaterPositionY,0x78,GlobalData,m_waterPositionY,321,314,
0x00c77018,WaterPositionZ,0x7c,GlobalData,m_waterPositionZ,321,314,
0x00c77018,WaterExtentX,0x80,GlobalData,m_waterExtentX,321,314,
0x00c77018,WaterExtentY,0x84,GlobalData,m_waterExtentY,321,314,
0x00c77018,WaterType,0x88,GlobalData,m_waterType,321,314,
0x00c77018,FeatherWater,0x98,GlobalData,m_featherWater,321,314,
0x00c77018,ShowSoftWaterEdge,0x8c,GlobalData,m_showSoftWaterEdge,321,314,vote picked from StaticGameLODInfo::m_showSoftWaterEdge
0x00c77018,VertexWaterAvailableMaps1,0x9c,GlobalData,m_vertexWaterAvailableMaps,321,314,
0x00c77018,VertexWaterHeightClampLow1,0xac,GlobalData,m_vertexWaterHeightClampLow,321,314,
0x00c77018,VertexWaterHeightClampHi1,0xbc,GlobalData,m_vertexWaterHeightClampHi,321,314,
0x00c77018,VertexWaterAngle1,0xcc,GlobalData,m_vertexWaterAngle,321,314,
0x00c77018,VertexWaterXPosition1,0xdc,GlobalData,m_vertexWaterXPosition,321,314,
0x00c77018,VertexWaterYPosition1,0xec,GlobalData,m_vertexWaterYPosition,321,314,
0x00c77018,VertexWaterZPosition1,0xfc,GlobalData,m_vertexWaterZPosition,321,314,
0x00c77018,VertexWaterXGridCells1,0x10c,GlobalData,m_vertexWaterXGridCells,321,314,
0x00c77018,VertexWaterYGridCells1,0x11c,GlobalData,m_vertexWaterYGridCells,321,314,
0x00c77018,VertexWaterGridSize1,0x12c,GlobalData,m_vertexWaterGridSize,321,314,
0x00c77018,VertexWaterAttenuationA1,0x13c,GlobalData,m_vertexWaterAttenuationA,321,314,
0x00c77018,VertexWaterAttenuationB1,0x14c,GlobalData,m_vertexWaterAttenuationB,321,314,
0x00c77018,VertexWaterAttenuationC1,0x15c,GlobalData,m_vertexWaterAttenuationC,321,314,
0x00c77018,VertexWaterAttenuationRange1,0x16c,GlobalData,m_vertexWaterAttenuationRange,321,314,
0x00c77018,VertexWaterAvailableMaps2,0xa0,GlobalData,m_vertexWaterAvailableMaps,321,314,
0x00c77018,VertexWaterHeightClampLow2,0xb0,GlobalData,m_vertexWaterHeightClampLow,321,314,
0x00c77018,VertexWaterHeightClampHi2,0xc0,GlobalData,m_vertexWaterHeightClampHi,321,314,
0x00c77018,VertexWaterAngle2,0xd0,GlobalData,m_vertexWaterAngle,321,314,
0x00c77018,VertexWaterXPosition2,0xe0,GlobalData,m_vertexWaterXPosition,321,314,
0x00c77018,VertexWaterYPosition2,0xf0,GlobalData,m_vertexWaterYPosition,321,314,
0x00c77018,VertexWaterZPosition2,0x100,GlobalData,m_vertexWaterZPosition,321,314,
0x00c77018,VertexWaterXGridCells2,0x110,GlobalData,m_vertexWaterXGridCells,321,314,
0x00c77018,VertexWaterYGridCells2,0x120,GlobalData,m_vertexWaterYGridCells,321,314,
0x00c77018,VertexWaterGridSize2,0x130,GlobalData,m_vertexWaterGridSize,321,314,
0x00c77018,VertexWaterAttenuationA2,0x140,GlobalData,m_vertexWaterAttenuationA,321,314,
0x00c77018,VertexWaterAttenuationB2,0x150,GlobalData,m_vertexWaterAttenuationB,321,314,
0x00c77018,VertexWaterAttenuationC2,0x160,GlobalData,m_vertexWaterAttenuationC,321,314,
0x00c77018,VertexWaterAttenuationRange2,0x170,GlobalData,m_vertexWaterAttenuationRange,321,314,
0x00c77018,VertexWaterAvailableMaps3,0xa4,GlobalData,m_vertexWaterAvailableMaps,321,314,
0x00c77018,VertexWaterHeightClampLow3,0xb4,GlobalData,m_vertexWaterHeightClampLow,321,314,
0x00c77018,VertexWaterHeightClampHi3,0xc4,GlobalData,m_vertexWaterHeightClampHi,321,314,
0x00c77018,VertexWaterAngle3,0xd4,GlobalData,m_vertexWaterAngle,321,314,
0x00c77018,VertexWaterXPosition3,0xe4,GlobalData,m_vertexWaterXPosition,321,314,
0x00c77018,VertexWaterYPosition3,0xf4,GlobalData,m_vertexWaterYPosition,321,314,
0x00c77018,VertexWaterZPosition3,0x104,GlobalData,m_vertexWaterZPosition,321,314,
0x00c77018,VertexWaterXGridCells3,0x114,GlobalData,m_vertexWaterXGridCells,321,314,
0x00c77018,VertexWaterYGridCells3,0x124,GlobalData,m_vertexWaterYGridCells,321,314,
0x00c77018,VertexWaterGridSize3,0x134,GlobalData,m_vertexWaterGridSize,321,314,
0x00c77018,VertexWaterAttenuationA3,0x144,GlobalData,m_vertexWaterAttenuationA,321,314,
0x00c77018,VertexWaterAttenuationB3,0x154,GlobalData,m_vertexWaterAttenuationB,321,314,
0x00c77018,VertexWaterAttenuationC3,0x164,GlobalData,m_vertexWaterAttenuationC,321,314,
0x00c77018,VertexWaterAttenuationRange3,0x174,GlobalData,m_vertexWaterAttenuationRange,321,314,
0x00c77018,VertexWaterAvailableMaps4,0xa8,GlobalData,m_vertexWaterAvailableMaps,321,314,
0x00c77018,VertexWaterHeightClampLow4,0xb8,GlobalData,m_vertexWaterHeightClampLow,321,314,
0x00c77018,VertexWaterHeightClampHi4,0xc8,GlobalData,m_vertexWaterHeightClampHi,321,314,
0x00c77018,VertexWaterAngle4,0xd8,GlobalData,m_vertexWaterAngle,321,314,
0x00c77018,VertexWaterXPosition4,0xe8,GlobalData,m_vertexWaterXPosition,321,314,
0x00c77018,VertexWaterYPosition4,0xf8,GlobalData,m_vertexWaterYPosition,321,314,
0x00c77018,VertexWaterZPosition4,0x108,GlobalData,m_vertexWaterZPosition,321,314,
0x00c77018,VertexWaterXGridCells4,0x118,GlobalData,m_vertexWaterXGridCells,321,314,
0x00c77018,VertexWaterYGridCells4,0x128,GlobalData,m_vertexWaterYGridCells,321,314,
0x00c77018,VertexWaterGridSize4,0x138,GlobalData,m_vertexWaterGridSize,321,314,
0x00c77018,VertexWaterAttenuationA4,0x148,GlobalData,m_vertexWaterAttenuationA,321,314,
0x00c77018,VertexWaterAttenuationB4,0x158,GlobalData,m_vertexWaterAttenuationB,321,314,
0x00c77018,VertexWaterAttenuationC4,0x168,GlobalData,m_vertexWaterAttenuationC,321,314,
0x00c77018,VertexWaterAttenuationRange4,0x178,GlobalData,m_vertexWaterAttenuationRange,321,314,
0x00c77018,DefaultUnitHealingBuffFxList,0xaa4,,,321,314,no upstream key
0x00c77018,DefaultStructureRepairBuffFxList,0xaa8,,,321,314,no upstream key
0x00c77018,TimeAfterDamageUntilRepairAllowed,0xb50,,,321,314,no upstream key
0x00c77018,DrawSkyBox,0x180,GlobalData,m_drawSkyBox,321,314,
0x00c77018,DefaultCameraMinHeight,0x184,,,321,314,no upstream key
0x00c77018,DefaultCameraMaxHeight,0x188,,,321,314,no upstream key
0x00c77018,DefaultCameraPitchAngle,0x18c,,,321,314,no upstream key
0x00c77018,DefaultCameraYawAngle,0x190,,,321,314,no upstream key
0x00c77018,DefaultCameraScrollSpeedScalar,0x194,,,321,314,no upstream key
0x00c77018,CameraLockHeightDelta,0xe58,,,321,314,no upstream key
0x00c77018,CameraEaseFactor,0xe64,,,321,314,no upstream key
0x00c77018,TerrainHeightAtEdgeOfMap,0x198,GlobalData,m_terrainHeightAtEdgeOfMap,321,314,
0x00c77018,UnitDamagedThreshold,0x19c,GlobalData,m_unitDamagedThresh,321,314,
0x00c77018,UnitReallyDamagedThreshold,0x1a0,GlobalData,m_unitReallyDamagedThresh,321,314,
0x00c77018,GroundStiffness,0x1a4,GlobalData,m_groundStiffness,321,314,
0x00c77018,StructureStiffness,0x1a8,GlobalData,m_structureStiffness,321,314,
0x00c77018,Gravity,0x1ac,GlobalData,m_gravity,321,314,vote picked from ParticleSystemTemplate::m_gravity
0x00c77018,StealthFriendlyOpacity,0x1b0,GlobalData,m_stealthFriendlyOpacity,321,314,
0x00c77018,DefaultOcclusionDelay,0x1b4,GlobalData,m_defaultOcclusionDelay,321,314,
0x00c77018,PartitionCellSize,0x1bc,GlobalData,m_partitionCellSize,321,314,
0x00c77018,AmmoPipScaleFactor,0x1e8,GlobalData,m_ammoPipScaleFactor,321,314,
0x00c77018,ContainerPipScaleFactor,0x1ec,GlobalData,m_containerPipScaleFactor,321,314,
0x00c77018,AmmoPipWorldOffset,0x1c0,GlobalData,m_ammoPipWorldOffset,321,314,
0x00c77018,ContainerPipWorldOffset,0x1cc,GlobalData,m_containerPipWorldOffset,321,314,
0x00c77018,AmmoPipScreenOffset,0x1d8,GlobalData,m_ammoPipScreenOffset,321,314,
0x00c77018,ContainerPipScreenOffset,0x1e0,GlobalData,m_containerPipScreenOffset,321,314,
0x00c77018,MaxTerrainTracks,0x1f0,GlobalData,m_maxTerrainTracks,321,314,
0x00c77018,TimeOfDay,0x218,GlobalData,m_timeOfDay,321,314,
0x00c77018,Weather,0x21c,GlobalData,m_weather,321,314,
0x00c77018,MakeTrackMarks,0x220,GlobalData,m_makeTrackMarks,321,314,
0x00c77018,HideGarrisonFlags,0x221,GlobalData,m_hideGarrisonFlags,321,314,
0x00c77018,ForceModelsToFollowTimeOfDay,0x222,GlobalData,m_forceModelsToFollowTimeOfDay,321,314,
0x00c77018,ForceModelsToFollowWeather,0x223,GlobalData,m_forceModelsToFollowWeather,321,314,
0x00c77018,LevelGainAnimationName,0x200,GlobalData,m_levelGainAnimationName,321,314,
0x00c77018,LevelGainAnimationTime,0x204,GlobalData,m_levelGainAnimationDisplayTimeInSeconds,321,314,
0x00c77018,LevelGainAnimationZRise,0x208,GlobalData,m_levelGainAnimationZRisePerSecond,321,314,
0x00c77018,GetHealedAnimationName,0x20c,GlobalData,m_getHealedAnimationName,321,314,
0x00c77018,GetHealedAnimationTime,0x210,GlobalData,m_getHealedAnimationDisplayTimeInSeconds,321,314,
0x00c77018,GetHealedAnimationZRise,0x214,GlobalData,m_getHealedAnimationZRisePerSecond,321,314,
0x00c77018,TerrainLightingMorningAmbient,0x290,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningDiffuse,0x29c,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningLightPos,0x2a8,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonAmbient,0x2fc,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonDiffuse,0x308,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonLightPos,0x314,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningAmbient,0x368,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningDiffuse,0x374,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningLightPos,0x380,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightAmbient,0x3d4,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightDiffuse,0x3e0,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightLightPos,0x3ec,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningAmbient,0x518,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningDiffuse,0x524,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningLightPos,0x530,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonAmbient,0x584,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonDiffuse,0x590,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonLightPos,0x59c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningAmbient,0x5f0,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningDiffuse,0x5fc,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningLightPos,0x608,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightAmbient,0x65c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightDiffuse,0x668,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightLightPos,0x674,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainLightingMorningAmbient2,0x2b4,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningDiffuse2,0x2c0,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningLightPos2,0x2cc,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonAmbient2,0x320,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonDiffuse2,0x32c,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonLightPos2,0x338,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningAmbient2,0x38c,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningDiffuse2,0x398,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningLightPos2,0x3a4,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightAmbient2,0x3f8,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightDiffuse2,0x404,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightLightPos2,0x410,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningAmbient2,0x53c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningDiffuse2,0x548,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningLightPos2,0x554,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonAmbient2,0x5a8,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonDiffuse2,0x5b4,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonLightPos2,0x5c0,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningAmbient2,0x614,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningDiffuse2,0x620,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningLightPos2,0x62c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightAmbient2,0x680,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightDiffuse2,0x68c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightLightPos2,0x698,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainLightingMorningAmbient3,0x2d8,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningDiffuse3,0x2e4,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingMorningLightPos3,0x2f0,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonAmbient3,0x344,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonDiffuse3,0x350,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingAfternoonLightPos3,0x35c,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningAmbient3,0x3b0,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningDiffuse3,0x3bc,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingEveningLightPos3,0x3c8,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightAmbient3,0x41c,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightDiffuse3,0x428,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainLightingNightLightPos3,0x434,GlobalData,m_terrainLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningAmbient3,0x560,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningDiffuse3,0x56c,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingMorningLightPos3,0x578,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonAmbient3,0x5cc,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonDiffuse3,0x5d8,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingAfternoonLightPos3,0x5e4,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningAmbient3,0x638,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningDiffuse3,0x644,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingEveningLightPos3,0x650,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightAmbient3,0x6a4,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightDiffuse3,0x6b0,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,TerrainObjectsLightingNightLightPos3,0x6bc,GlobalData,m_terrainObjectsLighting,321,314,
0x00c77018,NumberGlobalLights,0xa58,GlobalData,m_numGlobalLights,321,314,
0x00c77018,MaxTranslucentObjects,0xa44,GlobalData,m_maxVisibleTranslucentObjects,321,314,
0x00c77018,OccludedColorLuminanceScale,0xa54,GlobalData,m_occludedLuminanceScale,321,314,
0x00c77018,MaxRoadSegments,0xa5c,GlobalData,m_maxRoadSegments,321,314,
0x00c77018,MaxRoadVertex,0xa60,GlobalData,m_maxRoadVertex,321,314,
0x00c77018,MaxRoadIndex,0xa64,GlobalData,m_maxRoadIndex,321,314,
0x00c77018,MaxRoadTypes,0xa68,GlobalData,m_maxRoadTypes,321,314,
0x00c77018,ValuePerSupplyBox,0xb24,GlobalData,m_baseValuePerSupplyBox,321,314,
0x00c77018,SupplyBoxesPerTree,0xb28,,,321,314,no upstream key
0x00c77018,AudioOn,0xa6c,GlobalData,m_audioOn,321,314,
0x00c77018,MusicOn,0xa6d,GlobalData,m_musicOn,321,314,
0x00c77018,AmbientStreamsOn,0xa71,,,321,314,no upstream key
0x00c77018,SoundsOn,0xa6e,GlobalData,m_soundsOn,321,314,
0x00c77018,Sounds3DOn,0xa6f,GlobalData,m_sounds3DOn,321,314,
0x00c77018,SpeechOn,0xa70,GlobalData,m_speechOn,321,314,
0x00c77018,VideoOn,0xa73,GlobalData,m_videoOn,321,314,
0x00c77018,DisableCameraMovements,0xa74,GlobalData,m_disableCameraMovement,321,314,
0x00c77018,UseCameraInReplay,0xc0d,,,321,314,no upstream key
0x00c77018,DebugAI,0xa88,GlobalData,m_debugAI,321,314,
0x00c77018,DebugAIObstacles,0xa8c,GlobalData,m_debugAIObstacles,321,314,
0x00c77018,ShowClientPhysics,0xa80,GlobalData,m_showClientPhysics,321,314,
0x00c77018,ShowTerrainNormals,0xa81,GlobalData,m_showTerrainNormals,321,314,
0x00c77018,ShowObjectHealth,0xa8d,GlobalData,m_showObjectHealth,321,314,
0x00c77018,ShowTooltips,0xa8f,,,321,314,no upstream key
0x00c77018,ParticleScale,0xab4,GlobalData,m_particleScale,321,314,
0x00c77018,AutoFireParticleSmallPrefix,0xab8,GlobalData,m_autoFireParticleSmallPrefix,321,314,
0x00c77018,AutoFireParticleSmallSystem,0xabc,GlobalData,m_autoFireParticleSmallSystem,321,314,
0x00c77018,AutoFireParticleSmallMax,0xac0,GlobalData,m_autoFireParticleSmallMax,321,314,
0x00c77018,AutoFireParticleMediumPrefix,0xac4,GlobalData,m_autoFireParticleMediumPrefix,321,314,
0x00c77018,AutoFireParticleMediumSystem,0xac8,GlobalData,m_autoFireParticleMediumSystem,321,314,
