uData	0x810120
lotrsec.big	0x79060
lotrb.sec	0x79060
TheGameResultsQueue	0x79060
TheGameState	0x79060
TheGameStateMap	0x79060
TheActionManager	0x79060
Lang\%s\CommandMap.ini	0x79060
TheVictorySystem	0x79060
TheLivingWorldCampaignManager	0x79060
TheHouseColorSystem	0x79060
TheMetaMap	0x79060
TheVictoryConditions	0x79060
TheRadar	0x79060
TheRecorder	0x79060
TheGameLogic	0x79060
ThePlayerList	0x79060
TheCrateSystem	0x79060
TheTeamFactory	0x79060
TheLuaScriptEngine	0x79060
TheScriptEngine	0x79060
TheTaintManager	0x79060
TheAttributeModifierStore	0x79060
TheSplineService	0x79060
TheLivingWorldLogic	0x79060
TheAerialPathfinder	0x79060
TheAI	0x79060
TheGameClient	0x79060
TheLivingWorldManager	0x79060
TheAptPlayer	0x79060
TheExperienceLevelSystem	0x79060
TheLightPointSystem	0x79060
TheThingFactory	0x79060
TheEmotionSystem	0x79060
TheBuildAssistant	0x79060
TheArmorStore	0x79060
TheDamageFXStore	0x79060
TheSpecialPowerStore	0x79060
TheLocomotorStore	0x79060
TheObjectCreationListStore	0x79060
TheWeaponStore	0x79060
TheFXListStore	0x79060
TheFXParticleSystemManager	0x79060
ThePlayerTemplateStore	0x79060
ThePlayerAITypeSet	0x79060
TheRankInfoStore	0x79060
TheCaveSystem	0x79060
TheSidesList	0x79060
TheMessageStream	0x79060
TheModuleFactory	0x79060
TheFunctionLexicon	0x79060
TheGlobalWeatherSystem	0x79060
TheCDManager	0x79060
TheTerrainRoads	0x79060
TheTerrainTypes	0x79060
TheMultiplayerSettings	0x79060
TheUpgradeCenter	0x79060
TheScienceStore	0x79060
TheEva	0x79060
TheAudio	0x79060
TheGameText	0x79060
TheGlobalLanguageData	0x79060
Data\INI\Environment.ini	0x79060
Data\INI\Default\Environment.ini	0x79060
Data\INI\Water.ini	0x79060
Data\INI\Default\Water.ini	0x79060
TheWritableGlobalData	0x79060
Data\INI\Default\SubsystemLegend.ini	0x79060
TheSubsystemLegend	0x79060
Lang\%s	0x79060
GameEngine	0x79060
UseHighQualityVideo	0x7e5f0,0x91030,0x560280
ShowProps	0x7e5f0,0x90fb0,0x560280
GrassDrawSkip	0x7e5f0,0x91560,0x560280
MaxParticleCount	0x7e5f0,0x914b0,0x560280
Medium	0x3a4c80
VeryLow	0x7cdb0,0x7cfb0
Unknown	0x91c230,0x7c4d0,0xad548e,0x906660
GameLODManager::getAudioLODIndex - Invalid LOD name '	0x7d0c0
Unknown Audio LOD level '%s'	0x7d560
Resolution	0x7e0f0,0x4331d0
%d %d	0x7e0f0,0x4331d0
FixedStaticGameLOD	0x7eeb0,0x7e0f0,0x90a00
StaticGameLOD	0x7e0f0,0x90970
IdealStaticGameLOD	0x7e0f0,0x90900
SmoothWaterBorder	0x7e5f0,0x90f20,0x560280
AnisotropicTextureFiltering	0x7e5f0,0x90d90,0x560280
TerrainLighting	0x7e5f0,0x90ea0,0x560280
FPSLimit	0x7e5f0,0x560280
DynamicLOD	0x7e5f0,0x91130,0x560280
BuildingOcclusion	0x7e5f0,0x91330,0x560280
UsePixelShader	0x7e5f0,0x90e10,0x560280
2DShadows	0x7e5f0,0x912b0,0x560280
3DShadows	0x7e5f0,0x91230,0x560280
TextureReduction	0x7e5f0,0x915e0,0x560280
BenchProfile = %s %d %f %f %f	0x7eeb0
Benchmark.txt	0x7eeb0
Data\INI\GameLOD.ini	0x7eeb0
  Option Type Mismatch : 	0x7f470
Unknown game detail option : 	0x7f470
337Munkee	0x7fbf0
MemberName	0x5531d0,0x80b60
nick_%s = %s 	0x80f40
date_%s = %s 	0x80f40
pass_%s = %s 	0x80f40
useProfiles = %s 	0x80f40
useProfiles	0x501b90,0x80f40,0x550ad0
lastName = %s 	0x80f40
lastName	0x5531d0,0x501b90,0x80f40,0x550ad0
lastEmail = %s 	0x80f40
lastEmail	0x5531d0,0x501b90,0x80f40,0x550ad0
%c%c%c%c	0x813d0
nick_	0x82190
date_	0x82190
pass_	0x82190
GameSpyLogin.ini	0x82970
FirewallPortAllocationDelta	0x66fdf0,0x560052
FirewallBehavior	0x90b80,0x66fdf0,0x560052
Gravity	0x5fe210
UserDataLeafName	0x109d10
APPDATA:PictureFolder	0x83dd0
Maps\ShellMap1\ShellMap1.map	0x84510
MOTD.txt	0x84510
Network.ini	0x86480
UserName	0x5195b0,0x4d3970,0x4d33d0,0x4d3650,0x870f0,0x86540
StartingSupplies	0x5195b0,0x871d0,0x86750,0xac870,0xa9910
Color	0x5195b0,0x8bf100,0x9ea10,0x81de40,0x8d0080,0x5f0530,0x68a900,0x689f00,0xa97c0,0xa9790,0xad8c0,0x86840,0x86f30,0x525ab0,0x9e650,0x9dc60,0xac2a0
PlayerTemplate	0x5195b0,0x9ea10,0x68a900,0x689f00,0xada80,0x87010,0x868d0,0x525ab0,0xac3b0
UseSystemMapDir	0x90780,0x52a940,0x529ec0,0xadb60,0xac480,0x869a0,0x525210
NumRemoteIPs	0x5195b0,0x4d2d80,0x86c00
RemoteIP%d	0x4d2d80,0x86c70
ObjectsList	0x88f50,0x87610
Object	0x88e20,0x87610
 MapObjectAmb %d %s	0x88480
%s %d	0x35a060,0x89dc0,0x89450,0x862b80
MSG_CAN_GRAB_HINT	0x8b600
MSG_JOIN_HORDE_HINT	0x8b600
MSG_GIVE_UPGRADE_HINT	0x8b600
MSG_OBJECT_JOINED_TEAM	0x8b600
MSG_OBJECT_ORIENTATION	0x8b600
MSG_OBJECT_POSITION	0x8b600
MSG_OBJECT_DESTROYED	0x8b600
MSG_OBJECT_CREATED	0x8b600
MSG_TIMESTAMP	0x8b600
MSG_END_NETWORK_MESSAGES	0x8b600
MSG_BEGIN_NETWORK_MESSAGES	0x8b600
MSG_DO_INVALID_HINT	0x8b600
MSG_DO_SALVAGE_HINT	0x8b600
MSG_SET_RALLY_POINT_HINT	0x8b600
MSG_DEFECTOR_HINT	0x8b600
MSG_SNIPE_VEHICLE_HINT	0x8b600
MSG_APT_SKIP_NEXT_MSG	0x8b600
MSG_CAPTUREBUILDING_HINT	0x8b600
MSG_CONVERT_TO_CARBOMB_HINT	0x8b600
MSG_FIREBOMB_HINT	0x8b600
MSG_HIJACK_HINT	0x8b600
MSG_ADD_WAYPOINT_HINT	0x8b600
MSG_DO_ATTACKMOVETO_HINT	0x8b600
MSG_DO_MOVETO_HINT	0x8b600
MSG_HARVEST_HINT	0x8b600
MSG_DOCK_HINT	0x8b600
MSG_CONTEST_HINT	0x8b600
MSG_ENTER_HINT	0x8b600
MSG_RESUME_CONSTRUCTION_HINT	0x8b600
MSG_DO_REPAIR_HINT	0x8b600
MSG_GET_HEALED_HINT	0x8b600
MSG_GET_REPAIRED_HINT	0x8b600
MSG_DO_FORCE_ATTACK_GROUND_HINT	0x8b600
MSG_DO_FORCE_ATTACK_OBJECT_HINT	0x8b600
MSG_DO_ATTACK_OBJECT_AFTER_MOVING_HINT	0x8b600
MSG_DO_ATTACK_OBJECT_HINT	0x8b600
MSG_AREA_SELECTION_HINT	0x8b600
MSG_INVALID_GUICOMMAND_HINT	0x8b600
MSG_VALID_GUICOMMAND_HINT	0x8b600
MSG_MOUSEOVER_LOCATION_HINT	0x8b600
MSG_MOUSEOVER_DRAWABLE_HINT	0x8b600
MSG_END_META_MESSAGES	0x8b600
MSG_BEGIN_META_MESSAGES	0x8b600
MSG_START_LIVING_WORLD_LOGIC	0x8b600
MSG_NEW_GAME	0x8b600
MSG_CLEAR_GAME_DATA	0x8b600
MSG_MOUSE_RIGHT_DOUBLE_CLICK	0x8b600
MSG_MOUSE_RIGHT_CLICK	0x8b600
MSG_MOUSE_MIDDLE_DOUBLE_CLICK	0x8b600
MSG_MOUSE_MIDDLE_CLICK	0x8b600
MSG_MOUSE_LEFT_DOUBLE_CLICK	0x8b600
MSG_MOUSE_LEFT_CLICK	0x8b600
MSG_RAW_KEY_UP	0x8b600
MSG_RAW_KEY_DOWN	0x8b600
MSG_RAW_MOUSE_END	0x8b600
MSG_RAW_MOUSE_WHEEL	0x8b600
MSG_RAW_MOUSE_RIGHT_DRAG	0x8b600
MSG_RAW_MOUSE_RIGHT_BUTTON_UP	0x8b600
MSG_RAW_MOUSE_RIGHT_DOUBLE_CLICK	0x8b600
MSG_RAW_MOUSE_RIGHT_BUTTON_DOWN	0x8b600
MSG_RAW_MOUSE_MIDDLE_DRAG	0x8b600
MSG_RAW_MOUSE_MIDDLE_BUTTON_UP	0x8b600
MSG_RAW_MOUSE_MIDDLE_DOUBLE_CLICK	0x8b600
MSG_RAW_MOUSE_MIDDLE_BUTTON_DOWN	0x8b600
MSG_RAW_MOUSE_LEFT_DRAG	0x8b600
MSG_RAW_MOUSE_LEFT_CLICK	0x8b600
MSG_RAW_MOUSE_LEFT_BUTTON_UP	0x8b600
MSG_RAW_MOUSE_LEFT_DOUBLE_CLICK	0x8b600
MSG_RAW_MOUSE_LEFT_BUTTON_DOWN	0x8b600
MSG_RAW_MOUSE_POSITION	0x8b600
MSG_RAW_MOUSE_BEGIN	0x8b600
MSG_INVALID	0x8b600
MSG_ENABLE_RETALIATION_MODE	0x8b600
MSG_CREATE_SELECT_ALL_GROUP	0x8b600
MSG_HORDE_SET_FORMATION	0x8b600
MSG_CALL_IN_REINFORCEMENTS	0x8b600
MSG_SUMMON_REINFORCEMENTS	0x8b600
MSG_START_SELF_REPAIR	0x8b600
MSG_WAKE_AUTO_PICKUP	0x8b600
MSG_TOGGLE_NO_AUTO_ACQUIRE	0x8b600
MSG_REVIVE	0x8b600
MSG_DO_AUTO_ABILITY_WEAPON	0x8b600
MSG_DO_AUTO_ABILITY	0x8b600
MSG_WEAPONSET_TOGGLE	0x8b600
MSG_DO_SPELLBOOK_SPECIAL_POWER	0x8b600
MSG_CREW_EVACUATE	0x8b600
MSG_ONE_RING	0x8b600
MSG_HORDE_TOGGLE_FORMATION	0x8b600
MSG_CHANGE_CAMERA_ARRIVED_AT_WAYPOINTID	0x8b600
MSG_AUTO_SAVE	0x8b600
MSG_MOVE_ARMY_TO_POSITION	0x8b600
MSG_DO_USER4	0x8b600
MSG_DO_USER3	0x8b600
MSG_DO_USER2	0x8b600
MSG_DO_USER1	0x8b600
MSG_SET_MINE_CLEARING_DETAIL	0x8b600
MSG_LOGIC_CRC	0x8b600
MSG_CREATE_FORMATION	0x8b600
MSG_SELF_DESTRUCT	0x8b600
MSG_SET_REPLAY_CAMERA	0x8b600
MSG_SET_BEACON_TEXT	0x8b600
MSG_REMOVE_BEACON	0x8b600
MSG_PLACE_BEACON	0x8b600
MSG_CLEAR_INGAME_POPUP_MESSAGE	0x8b600
MSG_DO_SALVAGE	0x8b600
MSG_DO_SPECIAL_POWER_OVERRIDE_DESTINATION	0x8b600
MSG_SNIPE_VEHICLE	0x8b600
MSG_CASTLE_UNPACK_EXPLICIT_OBJECT	0x8b600
MSG_CASTLE_PACK	0x8b600
MSG_CASTLE_UNPACK	0x8b600
MSG_CAPTUREBUILDING	0x8b600
MSG_CONVERT_TO_CARBOMB	0x8b600
MSG_SWITCH_WEAPONS	0x8b600
MSG_CLOSE_GATE	0x8b600
MSG_DO_CHEER	0x8b600
MSG_OPEN_GATE	0x8b600
MSG_DO_SCATTER	0x8b600
MSG_DO_STOP	0x8b600
MSG_DO_GUARD_OBJECT	0x8b600
MSG_DO_GUARD_POSITION	0x8b600
MSG_ADD_WAYPOINT	0x8b600
MSG_DO_FORCEMOVETO	0x8b600
MSG_DO_ATTACKMOVETO	0x8b600
MSG_DO_MOVETO	0x8b600
MSG_HARVEST	0x8b600
MSG_DOCK	0x8b600
MSG_ENTER	0x8b600
MSG_RESUME_CONSTRUCTION	0x8b600
MSG_DO_REPAIR	0x8b600
MSG_GET_HEALED	0x8b600
MSG_GET_REPAIRED	0x8b600
MSG_DO_FORCE_ATTACK_GROUND	0x8b600
MSG_DO_FORCE_ATTACK_OBJECT	0x8b600
MSG_DO_ATTACK_OBJECT	0x8b600
MSG_AREA_SELECTION	0x8b600
MSG_COMBINE_HORDES_WITH_OBJECT	0x8b600
MSG_COMBATDROP_AT_OBJECT	0x8b600
MSG_COMBATDROP_AT_LOCATION	0x8b600
MSG_SACRIFICE	0x8b600
MSG_EVACUATE_CONTESTERS	0x8b600
MSG_EVACUATE	0x8b600
MSG_EXIT	0x8b600
MSG_SELL	0x8b600
MSG_DOZER_CANCEL_CONSTRUCT	0x8b600
MSG_UNUSED	0x8b600
MSG_FOUNDATION_CONSTRUCT	0x8b600
MSG_CANCEL_UNIT_CREATE	0x8b600
MSG_QUEUE_UNIT_CREATE	0x8b600
MSG_CANCEL_UPGRADE	0x8b600
MSG_QUEUE_UPGRADE	0x8b600
MSG_PURCHASE_SCIENCE	0x8b600
MSG_SET_RALLY_POINT	0x8b600
MSG_DO_SPECIAL_POWER_AT_OBJECT	0x8b600
MSG_DO_SPECIAL_POWER_AT_LOCATION	0x8b600
MSG_DO_SPECIAL_POWER	0x8b600
MSG_DO_WEAPON_AT_OBJECT	0x8b600
MSG_DO_WEAPON_AT_LOCATION	0x8b600
MSG_DO_WEAPON	0x8b600
MSG_DO_ATTACKSQUAD	0x8b600
MSG_ADD_TEAM9	0x8b600
MSG_ADD_TEAM8	0x8b600
MSG_ADD_TEAM7	0x8b600
MSG_ADD_TEAM6	0x8b600
MSG_ADD_TEAM5	0x8b600
MSG_ADD_TEAM4	0x8b600
MSG_ADD_TEAM3	0x8b600
MSG_ADD_TEAM2	0x8b600
MSG_ADD_TEAM1	0x8b600
MSG_ADD_TEAM0	0x8b600
MSG_SELECT_TEAM9	0x8b600
MSG_SELECT_TEAM8	0x8b600
MSG_SELECT_TEAM7	0x8b600
MSG_SELECT_TEAM6	0x8b600
MSG_SELECT_TEAM5	0x8b600
MSG_SELECT_TEAM4	0x8b600
MSG_SELECT_TEAM3	0x8b600
MSG_SELECT_TEAM2	0x8b600
MSG_SELECT_TEAM1	0x8b600
MSG_SELECT_TEAM0	0x8b600
MSG_CREATE_TEAM9	0x8b600
MSG_CREATE_TEAM8	0x8b600
MSG_CREATE_TEAM7	0x8b600
MSG_CREATE_TEAM6	0x8b600
MSG_CREATE_TEAM5	0x8b600
MSG_CREATE_TEAM4	0x8b600
MSG_CREATE_TEAM3	0x8b600
MSG_CREATE_TEAM2	0x8b600
MSG_CREATE_TEAM1	0x8b600
MSG_CREATE_TEAM0	0x8b600
MSG_REMOVE_FROM_SELECTED_GROUP	0x8b600
MSG_DESTROY_SELECTED_GROUP	0x8b600
MSG_CREATE_SELECTED_GROUP_NO_SOUND	0x8b600
MSG_CREATE_SELECTED_GROUP	0x8b600
MSG_META_TOGGLE_FAST_FORWARD_MODE	0x8b600
MSG_META_DEMO_PERFORM_STATISTICAL_DUMP	0x8b600
MSG_META_SPELL_STORE	0x8b600
MSG_META_DELETE_BEACON	0x8b600
MSG_META_PLACE_BEACON	0x8b600
MSG_META_END_CAMERA_SCROLL_DOWN	0x8b600
MSG_META_BEGIN_CAMERA_SCROLL_DOWN	0x8b600
MSG_META_END_CAMERA_SCROLL_UP	0x8b600
MSG_META_BEGIN_CAMERA_SCROLL_UP	0x8b600
MSG_META_END_CAMERA_SCROLL_RIGHT	0x8b600
MSG_META_BEGIN_CAMERA_SCROLL_RIGHT	0x8b600
MSG_META_END_CAMERA_SCROLL_LEFT	0x8b600
MSG_META_BEGIN_CAMERA_SCROLL_LEFT	0x8b600
MSG_META_CAMERA_RESET	0x8b600
MSG_META_END_CAMERA_ZOOM_OUT	0x8b600
MSG_META_BEGIN_CAMERA_ZOOM_OUT	0x8b600
MSG_META_END_CAMERA_ZOOM_IN	0x8b600
MSG_META_BEGIN_CAMERA_ZOOM_IN	0x8b600
MSG_META_END_CAMERA_ROTATE_RIGHT	0x8b600
MSG_META_BEGIN_CAMERA_ROTATE_RIGHT	0x8b600
MSG_META_END_CAMERA_ROTATE_LEFT	0x8b600
MSG_META_BEGIN_CAMERA_ROTATE_LEFT	0x8b600
MSG_META_TOGGLE_ATTACKMOVE	0x8b600
MSG_META_ALL_CHEER	0x8b600
MSG_META_TAKE_SCREENSHOT	0x8b600
MSG_META_END_PREFER_SELECTION	0x8b600
MSG_META_BEGIN_PREFER_SELECTION	0x8b600
MSG_META_END_WAYPOINTS	0x8b600
MSG_META_BEGIN_WAYPOINTS	0x8b600
MSG_META_END_FORCEMOVE	0x8b600
MSG_META_BEGIN_FORCEMOVE	0x8b600
MSG_META_END_FORCEATTACK	0x8b600
MSG_META_BEGIN_FORCEATTACK	0x8b600
MSG_META_END_PATH_BUILD	0x8b600
MSG_META_BEGIN_PATH_BUILD	0x8b600
MSG_META_TOGGLE_CONTROL_BAR	0x8b600
MSG_META_TOGGLE_LOWER_DETAILS	0x8b600
MSG_META_OPTIONS	0x8b600
MSG_META_DIPLOMACY	0x8b600
MSG_META_CHAT_EVERYONE	0x8b600
MSG_META_CHAT_ALLIES	0x8b600
MSG_META_CHAT_BUDDIES	0x8b600
MSG_META_CHAT_PLAYERS	0x8b600
MSG_META_FOLLOW	0x8b600
MSG_META_AUTO_SAVE	0x8b600
MSG_META_CREATE_FORMATION	0x8b600
MSG_META_DEPLOY	0x8b600
MSG_META_STOP	0x8b600
MSG_META_SCATTER	0x8b600
MSG_META_SELECT_ALL	0x8b600
MSG_META_SELECT_HERO	0x8b600
MSG_META_VIEW_LAST_RADAR_EVENT	0x8b600
MSG_META_VIEW_HOME_BASE	0x8b600
MSG_META_SELECT_PREV_WORKER	0x8b600
MSG_META_SELECT_NEXT_WORKER	0x8b600
MSG_META_SELECT_PREV_UNIT	0x8b600
MSG_META_SELECT_NEXT_UNIT	0x8b600
MSG_META_SELECT_MATCHING_UNITS	0x8b600
MSG_META_VIEW_TEAM9	0x8b600
MSG_META_VIEW_TEAM8	0x8b600
MSG_META_VIEW_TEAM7	0x8b600
MSG_META_VIEW_TEAM6	0x8b600
MSG_META_VIEW_TEAM5	0x8b600
MSG_META_VIEW_TEAM4	0x8b600
MSG_META_VIEW_TEAM3	0x8b600
MSG_META_VIEW_TEAM2	0x8b600
MSG_META_VIEW_TEAM1	0x8b600
MSG_META_VIEW_TEAM0	0x8b600
MSG_META_ADD_TEAM9	0x8b600
MSG_META_ADD_TEAM8	0x8b600
MSG_META_ADD_TEAM7	0x8b600
MSG_META_ADD_TEAM6	0x8b600
MSG_META_ADD_TEAM5	0x8b600
MSG_META_ADD_TEAM4	0x8b600
MSG_META_ADD_TEAM3	0x8b600
MSG_META_ADD_TEAM2	0x8b600
MSG_META_ADD_TEAM1	0x8b600
MSG_META_ADD_TEAM0	0x8b600
MSG_META_SELECT_TEAM9	0x8b600
MSG_META_SELECT_TEAM8	0x8b600
MSG_META_SELECT_TEAM7	0x8b600
MSG_META_SELECT_TEAM6	0x8b600
MSG_META_SELECT_TEAM5	0x8b600
MSG_META_SELECT_TEAM4	0x8b600
MSG_META_SELECT_TEAM3	0x8b600
MSG_META_SELECT_TEAM2	0x8b600
MSG_META_SELECT_TEAM1	0x8b600
MSG_META_SELECT_TEAM0	0x8b600
MSG_META_CREATE_TEAM9	0x8b600
MSG_META_CREATE_TEAM8	0x8b600
MSG_META_CREATE_TEAM7	0x8b600
MSG_META_CREATE_TEAM6	0x8b600
MSG_META_CREATE_TEAM5	0x8b600
MSG_META_CREATE_TEAM4	0x8b600
MSG_META_CREATE_TEAM3	0x8b600
MSG_META_CREATE_TEAM2	0x8b600
MSG_META_CREATE_TEAM1	0x8b600
MSG_META_CREATE_TEAM0	0x8b600
MSG_META_VIEW_VIEW8	0x8b600
MSG_META_VIEW_VIEW7	0x8b600
MSG_META_VIEW_VIEW6	0x8b600
MSG_META_VIEW_VIEW5	0x8b600
MSG_META_VIEW_VIEW4	0x8b600
MSG_META_VIEW_VIEW3	0x8b600
MSG_META_VIEW_VIEW2	0x8b600
MSG_META_VIEW_VIEW1	0x8b600
MSG_META_SAVE_VIEW8	0x8b600
MSG_META_SAVE_VIEW7	0x8b600
MSG_META_SAVE_VIEW6	0x8b600
MSG_META_SAVE_VIEW5	0x8b600
MSG_META_SAVE_VIEW4	0x8b600
MSG_META_SAVE_VIEW3	0x8b600
MSG_META_SAVE_VIEW2	0x8b600
MSG_META_SAVE_VIEW1	0x8b600
OUT OF RANGE COMMAND %d	0x8b600
UNKNOWN COMMAND %d	0x8b600
AudioLOD	0x92810,0x90a90
Options.ini	0x904e0
CampaignDifficulty	0x920f0,0x90630
ScrollFactor	0x560280,0x906c0
SendDelay	0x560280,0x91e40
FirewallNeedToRefresh	0x90d00,0x66fcc0,0x66ffd0
HasSeenLogoMovies	0x913b0
HasGotOnline	0x91430,0x550ad0
VoiceVolume	0x560280,0x91880
MusicVolume	0x560280,0x91930
MovieVolume	0x560280,0x919e0
AmbientVolume	0x560280,0x91a90
LanguageFilter	0x91b40
TurnOffMessengerInGame	0x91bc0
AllHealthBars	0x560280,0x91cc0
AlternateMouseSetup	0x560280,0x91d40
UnitDecals	0x91dc0,0x560280
DisplayForeignLanguage	0x91f40
UseEAX3	0x91fc0,0x560280
HeatEffects	0x560280,0x92070
IPAddress	0x921d0,0x92350,0x923f0
%d.%d.%d.%d	0x4d3650,0x923f0,0x92710,0x908680,0x7e86d0,0x624c80
GameSpyIPAddress	0x924f0,0x92670,0x92710
Render.UseCloudMap	0x92d70
Data\INI\OptionRegistry.ini	0x92d70
"%s" Option registry value multiply defined at %s:%d	0x94010
String	0x8d0080,0x945a0
logicrandom = %i (%s, %i) 	0x96cf0
logicrandom = %f (%s, %i) 	0x96dd0
F:\bfme\Code\gameengine\Source\Common\RandomValue.cpp	0x97020
00000000	0x98b40
BFMEREPL	0x9b6c0,0x99490
Beast	0x5307b0,0x554510,0x546e00
Squire	0x5307b0,0x554510,0x546e00
Replays\	0x98a50
ReplayControl.wnd:ParentReplayControl	0x99980
%s%08d%s	0x99a40,0x99e10
    %02d: UNKNOWN ARGUMENT TYPE:%d	0x9a580
    %02d: String:%C	0x9a580
    %02d: TimeStamp:%d	0x9a580
    %02d: Pixel Region: (x:%d,y:%d) to (x:%d,y:%d)	0x9a580
    %02d: Pixel: (x:%d,y:%d)	0x9a580
    %02d: Coord3D: (x:%f,y:%f,z:%f), %%g(%g,%g,%g), %%x(%08x,%08x,%08x)	0x9a580
    %02d: LivingWorldUniqueID:%d	0x9a580
    %02d: TeamID:%d	0x9a580
    %02d: Drawable:INVALID	0x9a580
    %02d: Drawable:%s(%d)	0x9a580
    %02d: Object:INVALID(%d)	0x9a580
    %02d: Object:%s(%d) Relationship:%s	0x9a580
    %02d: Bool:%s	0x9a580
FALSE	0x17a8e0,0x9a580,0x179b10,0x179150,0x179740,0x178ea0,0x87f590,0x3df580,0x272800,0x3f2b60,0x352e80,0x1724b0,0x3f0f40,0x3f6090,0x3eb1f0,0x9095a0,0x2c8a20,0x66ffd0,0x1c3160,0x803320,0x907be0,0x3f2f60
    %02d: Real:%f, %%g(%g), %%x(%08x)	0x9a580
    %02d: Integer:%d	0x9a580
    %02d: Integer:%d (SpecialPower=%s)	0x9a580
    %02d: Integer:%d (ThingTemplate:%s)	0x9a580
UNKNOWN	0x9a580,0x198a10,0x9dfd60,0x9de410,0x903010,0x902a00,0x902b20,0x902ce0,0x902cb0,0x902c50,0x902de0,0x902d40,0x902d10,0x902ec0,0x902e80,0x902e10,0x902fd0,0x682ff0,0x902fb0,0x902f60,0x902f30,0x647810
    %02d: Integer:%d (Science:%s)	0x9a580
    %02d: Integer:%d (PlayerIndex)	0x9a580
 Frame:%d, %s(%d): 	0x9a580
  ======================================================== Player Index: %d, Name: %S(%s), Template: %s  ========================================================= 	0x9a580
  ======================================================== Player Index: %d NOT FOUND! This could be bad... ========================================================= 	0x9a580
GUI:LastReplay	0x9b6c0,0x4de8e0,0x56f1f0,0x4e1450,0x4e0740
TimePlayed	0x9c220,0x9c2c0
Points	0x9c370,0x9c410
Apt:TimePlayed	0x9c4b0
Mordor	0x9de50,0x57c340,0x9c6f0,0x596d40,0x1c9490,0x46fa50,0x46fbb0,0x3a0860,0x5674f0,0x566b10
Isengard	0x9de50,0x57c340,0x9c6f0,0x596d40,0x1c9490,0x46fa50,0x46fbb0,0x3a0860,0x5674f0,0x566b10
Rohan	0x9de50,0x57c340,0x9c6f0,0x596d40,0x46fa50,0x46fbb0,0x3a0860,0x5674f0,0x566b10
Gondor	0x9de50,0x57c340,0x9c6f0,0x596d40,0x46fa50,0x46fbb0,0x3a0860,0x5674f0,0x566b10
Losses	0x9c830,0x9c8d0
WinStreak	0x9c970,0x9ca10
LossStreak	0x9cab0,0x9cb50
BestWinStreak	0x9cbf0,0x9cc90
WorstLossStreak	0x9cd30
WorstLostStreak	0x9cdd0
OverallWinStreak	0x9ce70,0x9cea0
OverallBestWinStreak	0x9ced0,0x9cf00
OverallLossStreak	0x9cf60,0x9cf30
OverallWorstLossStreak	0x9cfc0,0x9cf90
