module	origin	shape	reg_site_rva	name_literal_rva	new_module_instance_rva	new_module_data_rva	interface_mask	object_size	constructor_rva
BattlePlanUpdate	ModuleFactory::init	addModuleInternal	0x0012E600	0x00C90490	0x00119CD0	0x00119D50	0x1	0x748	0x00286260
BeaconClientUpdate	ModuleFactory::init	addModuleInternal	0x00130800	0x00C8F7A0	0x00121B70	0x00121BF0	0x800	0x14	0x006030C0
BezierProjectileBehavior	ModuleFactory::init	mapAssign	0x0012C8DA	0x00C90C3C	0x00115240	0x001152C0	0x11	0x88	0x001F1470
BloodthirstyUpdate	ModuleFactory::init	addModuleInternal	0x0012F0BF	0x00C9005C	0x00113FB0	0x00114030	0x1	0x30	0x00286F80
BoneFXDamage	ModuleFactory::init	addModuleInternal	0x0012FA58	0x00C8FCF0	0x0011E800	0x00122D80	0x4	0x14	0x00250740
BoneFXUpdate	ModuleFactory::init	addModuleInternal	0x0012EE5D	0x00C90124	0x00117CC0	0x00123830	0x1	0x638	0x00288C50
BridgeBehavior	ModuleFactory::init	mapAssign	0x0012C4BA	0x00C90D64	0x00114790	0x00114810		0x488	0x001F3390
BridgeScaffoldBehavior	ModuleFactory::init	mapAssign	0x0012C512	0x00C90D48	0x001148B0	0x00125220		0x60	0x001F59F0
BridgeTowerBehavior	ModuleFactory::init	mapAssign	0x0012C56A	0x00C90D30	0x00114930	0x00113BE0		0x24	0x001F6000
BroadcastStealthUpdate	ModuleFactory::init	mapAssign	0x0012D9BA	0x00C907B8	0x0011B370	0x0012A350		0x34	0x00289880
BuildingBehavior	ModuleFactory::init	mapAssign	0x0012C462	0x00C90D78	0x00114670	0x001146F0		0x24	0x001F6780
CashHackSpecialPower	ModuleFactory::init	addModuleInternal	0x00130107	0x00C8FA90	0x0011FD70	0x0011FDF0	0x100	0x2C	0x00258250
CastleBehavior	ModuleFactory::init	mapAssign	0x0012C3B2	0x00C83C50	0x00114440	0x001144C0		0x114	0x00376250
CastleMemberBehavior	ModuleFactory::init	mapAssign	0x0012C40A	0x00C90D8C	0x00114550	0x001145D0		0x28	0x0036CEA0
CastleUpgrade	ModuleFactory::init	addModuleInternal	0x0012F6B6	0x00C8FE54	0x0011DEA0	0x0012BA80	0x84	0x1C	0x002D3E30
CaveContain	ModuleFactory::init	mapAssign	0x0012CAEA	0x00C90BB4	0x00115AB0	0x0012ABC0	0x5F	0xE4	0x00219B90
CivilianSpawnCollide	ModuleFactory::init	addModuleInternal	0x0012FDAE	0x00C8FBB8	0x0011F210	0x0011F290	0x10	0x14	0x002173E0
CivilianSpawnUpdate	ModuleFactory::init	mapAssign	0x0012E513	0x00C904D8	0x00116AE0	0x00116B60		0x24	0x0028A2F0
ClearanceTestingSlowDeathBehavior	ModuleFactory::init	mapAssign	0x0012D3E6	0x00C90920	0x00117290	0x00117310		0x54	0x001F7140
ClickReactionBehavior	ModuleFactory::init	mapAssign	0x0012C722	0x00C90CC0	0x00114CF0	0x00114D70		0x2C	0x001F7860
CloudBreakSpecialPower	ModuleFactory::init	addModuleInternal	0x00130304	0x00C8F9AC	0x001205F0	0x00120670	0x100	0x2C	0x00259010
CombineHordeSpecialPower	ModuleFactory::init	addModuleInternal	0x0013073E	0x00C8F7F8	0x00121840	0x001218C0	0x100	0x2C	0x002596F0
CommandButtonHuntUpdate	ModuleFactory::init	mapAssign	0x0012E40B	0x00C90518	0x00119890	0x00119910		0x28	0x0028AB20
CommandSetUpgrade	ModuleFactory::init	addModuleInternal	0x0012F276	0x00C8FFCC	0x0011D220	0x0012B0B0	0x84	0x1C	0x002D41A0
ContestableContain	ModuleFactory::init	mapAssign	0x0012D126	0x00C90A18	0x001165C0	0x00116640	0x5F	0x9DC	0x0021BEE0
CostModifierUpgrade	ModuleFactory::init	addModuleInternal	0x0012F1B6	0x00C90004	0x0011D9D0	0x0011DA50	0x8C	0x24	0x002D4570
CreateCrateDie	ModuleFactory::init	mapAssign	0x0012D6A2	0x00C90888	0x00117760	0x00129A30		0x14	0x00253E70
CreateObjectDie	ModuleFactory::init	mapAssign	0x0012D752	0x00C90868	0x001177E0	0x00117860		0x14	0x00254680
CritterEmitterUpdate	ModuleFactory::init	mapAssign	0x0012CCF6	0x00C90B20	0x00121950	0x001219D0	0x11	0x28	0x0028B6A0
CrushDie	ModuleFactory::init	mapAssign	0x0012D5F2	0x00C908A8	0x00117900	0x00123460		0x14	0x00254B90
DarknessSpecialPower	ModuleFactory::init	addModuleInternal	0x001303C4	0x00C8F958	0x00120920	0x001209A0	0x100	0x2C	0x00259B80
DefaultProductionExitUpdate	ModuleFactory::init	addModuleInternal	0x0012E996	0x00C902E0	0x00117D40	0x00123910	0x1	0x34	0x002CFD40
DefectorSpecialPower	ModuleFactory::init	addModuleInternal	0x00130147	0x00C8FA74	0x0011FE80	0x0011FF00	0x100	0x2C	0x00259F50
DeflectSpecialPower	ModuleFactory::init	addModuleInternal	0x00130444	0x00C8F940	0x00120B40	0x00120BC0	0x111	0x40	0x0025A1B0
DelayedDeathBody	ModuleFactory::init	addModuleInternal	0x0012FF59	0x00C8FB34	0x0011F830	0x0011F8B0	0x20	0xE4	0x00212810
DelayedLuaEventUpdate	ModuleFactory::init	mapAssign	0x0012DD2A	0x00C906C0	0x0011BC70	0x0011BCF0		0x78	0x0028BEF0
DelayedUpgrade	ModuleFactory::init	addModuleInternal	0x0012F2B6	0x00C8FFB8	0x0011D2A0	0x0012B200	0x84	0x1C	0x002D4D20
DelayedWeaponSetUpgradeUpdate	ModuleFactory::init	mapAssign	0x0012DA6A	0x00C90794	0x00117DC0	0x00117E40		0x24	0x0028C2D0
DeletionUpdate	ModuleFactory::init	mapAssign	0x0012DAC2	0x00C90780	0x00117EF0	0x001239B0		0x24	0x0028C520
DemoTrapUpdate	ModuleFactory::init	mapAssign	0x0012E463	0x00C90504	0x001199A0	0x00119A20		0x28	0x0028C7F0
DeployStyleAIUpdate	ModuleFactory::init	mapAssign	0x0012DB72	0x00C90740	0x00118670	0x001186F0	0x11	0x408	0x002B5510
DestroyDie	ModuleFactory::init	mapAssign	0x0012D542	0x00C908C0	0x00117990	0x00125340		0x14	0x00254F80
DestroyEnvironmentUpdate	ModuleFactory::init	mapAssign	0x0012DF3A	0x00C90628	0x0011C420	0x0011C4A0		0x28	0x0028CD70
DetachableRiderBody	ModuleFactory::init	addModuleInternal	0x0012FFD3	0x00C8FB0C	0x0011FA50	0x0011FAD0	0x20	0xE8	0x00212EC0
DetachableRiderUpdate	ModuleFactory::init	addModuleInternal	0x0012F045	0x00C90074	0x0011CAF0	0x0011CB70	0x1	0x24	0x0028D580
DevastateSpecialPower	ModuleFactory::init	addModuleInternal	0x0013067E	0x00C8F84C	0x00121510	0x00121590	0x100	0x2C	0x0025A7C0
DominateEnemySpecialPower	ModuleFactory::init	addModuleInternal	0x0012F833	0x00C8FDC4	0x00122140	0x001221C0	0x1	0xE8	0x0025ACF0
DozerAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EBFB	0x00C9020C	0x00117FA0	0x00118020	0x11	0x46C	0x002B8680
DualWeaponBehavior	ModuleFactory::init	mapAssign	0x0012C82A	0x00C90C74	0x00115020	0x001150A0		0x28	0x001F7E60
DynamicPortalBehaviour	ModuleFactory::init	mapAssign	0x0012CC9E	0x00C90B3C	0x001156B0	0x00115730	0x8E	0x40	0x001F8B80
DynamicShroudClearingRangeUpdate	ModuleFactory::init	mapAssign	0x0012DB1A	0x00C90758	0x001180B0	0x00118130		0x230	0x0028E410
ElvenWoodSpecialPower	ModuleFactory::init	addModuleInternal	0x00130244	0x00C8FA0C	0x001202C0	0x00120340	0x100	0x2C	0x0025B2B0
EmotionTrackerUpdate	ModuleFactory::init	addModuleInternal	0x0012F176	0x00C9001C	0x0011CE60	0x0011CEE0	0x201	0xB8	0x00290740
EnragedBehavior	ModuleFactory::init	mapAssign	0x0012C61A	0x00C90D08	0x00114AD0	0x00114B50		0x24	0x001FAC00
EntEnragedUpdate	ModuleFactory::init	mapAssign	0x0012C672	0x00C90CF4	0x0011CF80	0x0011D000		0x34	0x00291A00
EvacuateDamage	ModuleFactory::init	addModuleInternal	0x0012FB0F	0x00C8FCB4	0x0011EA10	0x0011EA90	0x4	0x18	0x00251060
ExperienceLevelCreate	ModuleFactory::init	addModuleInternal	0x0012FA1B	0x00C8FD00	0x0011E5F0	0x0011E670	0x8	0x18	0x0024F560
ExperienceScalarUpgrade	ModuleFactory::init	addModuleInternal	0x0012F5B6	0x00C8FEB4	0x0011DAF0	0x0011DB70	0x84	0x1C	0x002D4FD0
FXListDie	ModuleFactory::init	mapAssign	0x0012D59A	0x00C908B4	0x00117A20	0x00123590		0x14	0x00255360
FadeAndDieOrnamentUpdate	ModuleFactory::init	addModuleInternal	0x0012ED69	0x00C90180	0x0011B5B0	0x00125BD0	0x1	0x50	0x00292230
FellBeastSwoopPower	ModuleFactory::init	addModuleInternal	0x00130581	0x00C8F8C0	0x001210D0	0x00121150	0x1	0xEC	0x0025CF40
FireSpreadUpdate	ModuleFactory::init	mapAssign	0x0012E042	0x00C905F8	0x001181C0	0x00118240		0x20	0x002926C0
FireWeaponCollide	ModuleFactory::init	addModuleInternal	0x0012FB4C	0x00C8FC9C	0x0011EB20	0x00127D00	0x10	0x1C	0x00216430
FireWeaponUpdate	ModuleFactory::init	mapAssign	0x0012E09A	0x00C905E4	0x001182D0	0x00118350		0x24	0x00292CF0
FireWeaponWhenDamagedBehavior	ModuleFactory::init	mapAssign	0x0012D286	0x00C909A4	0x00116F30	0x0012A170	0x85	0x4C	0x001FB5D0
FireWeaponWhenDeadBehavior	ModuleFactory::init	mapAssign	0x0012D2DE	0x00C90984	0x00116FC0	0x0012A250	0x83	0x8C	0x001FBC70
FlammableUpdate	ModuleFactory::init	mapAssign	0x0012E0F2	0x00C905D0	0x001183E0	0x00118460		0x50	0x00293270
FloatUpdate	ModuleFactory::init	mapAssign	0x0012E14A	0x00C905C0	0x00118500	0x00118580		0x24	0x00294F90
FoundationAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EF8E	0x00C900BC	0x001143B0	0x00122E30	0x1	0x9C	0x002BA040
FreeLifeBody	ModuleFactory::init	addModuleInternal	0x0012FF96	0x00C8FB24	0x0011F940	0x0011F9C0	0x20	0xF4	0x00213390
FreezingRainSpecialPower	ModuleFactory::init	addModuleInternal	0x00130384	0x00C8F974	0x00120810	0x00120890	0x100	0x2C	0x0025D590
GarrisonContain	ModuleFactory::init	mapAssign	0x0012CEBA	0x00C90AC0	0x00116040	0x00125470	0x5F	0x9B8	0x0021D820
GarrisonUpgrade	ModuleFactory::init	addModuleInternal	0x0012F736	0x00C8FE2C	0x0011D950	0x0012BF00	0x84	0x1C	0x002D5280
GateOpenAndCloseBehavior	ModuleFactory::init	addModuleInternal	0x0012E63D	0x00C85EC0	0x00119DE0	0x00123AB0	0x11	0x4C	0x001FC580
GateProxyBehavior	ModuleFactory::init	addModuleInternal	0x0012E67A	0x00C8A288	0x00123B40	0x00123BF0	0x11	0x50	0x001FC580
GeometryUpgrade	ModuleFactory::init	addModuleInternal	0x0012F6F6	0x00C8FE40	0x0011DF20	0x0011DFA0	0x84	0x20	0x002D5790
GettingBuiltBehavior	ModuleFactory::init	mapAssign	0x0012C35A	0x00C90DA8	0x001142A0	0x00114320		0x3C	0x001FE380
GiantBirdAIUpdate	ModuleFactory::init	mapAssign	0x0012DC22	0x00C90708	0x00118910	0x00118990	0x11	0x4B4	0x002C2430
GiantBirdSlowDeathBehavior	ModuleFactory::init	mapAssign	0x0012CA92	0x00C90BC4	0x001157D0	0x00115850		0xD8	0x001FFB40
GiveUpgradeUpdate	ModuleFactory::init	addModuleInternal	0x0012E91C	0x00C90320	0x0011AB00	0x0011AB80	0x1	0xF0	0x0025D9A0
GloriousChargeUpdate	ModuleFactory::init	addModuleInternal	0x0012EC75	0x00C901D8	0x0011C750	0x0011C7D0	0x1	0xF4	0x0025E890
GrabPassengerSpecialPower	ModuleFactory::init	addModuleInternal	0x00130404	0x00C83C20	0x00120A30	0x00120AB0	0x100	0x2C	0x0025F0E0
GrantUpgradeCreate	ModuleFactory::init	addModuleInternal	0x0012F9DE	0x00C8FD1C	0x0011E4E0	0x0011E560	0x8	0x18	0x0024F860
HealContain	ModuleFactory::init	mapAssign	0x0012CD4E	0x00C90B10	0x00115B40	0x00115BC0	0x5F	0xD4	0x00220190
HealCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FC40	0x00C8FC4C	0x0011EE50	0x0011EDC0	0x10	0x18	0x00217AD0
HeightDieUpdate	ModuleFactory::init	mapAssign	0x0012E1A2	0x00C905AC	0x00118A20	0x00118AA0		0x34	0x00295550
HeroDie	ModuleFactory::init	mapAssign	0x0012D64A	0x00C9089C	0x0011FCF0	0x00124950		0x14	0x00255670
HeroModeSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E8A2	0x00C9035C	0x00119130	0x001191B0	0x1	0xE8	0x0025F8A0
HighlanderBody	ModuleFactory::init	addModuleInternal	0x0012FE65	0x00C8FB84	0x0011F4B0	0x0011F420	0x20	0xE0	0x002137B0
HijackerUpdate	ModuleFactory::init	addModuleInternal	0x0012ED2C	0x00C901A0	0x0011B4F0	0x00126D50	0x1	0x34	0x00295B20
HitReactionBehavior	ModuleFactory::init	mapAssign	0x0012C6CA	0x00C90CDC	0x00114BE0	0x00114C60		0x28	0x00200200
HordeAIUpdate	ModuleFactory::init	mapAssign	0x0012E2AA	0x00C90574	0x0011A680	0x00123FB0	0x11	0x344	0x002C43A0
HordeContain	ModuleFactory::init	mapAssign	0x0012CDA6	0x00C90B00	0x00115D60	0x00115DE0	0x5F	0x224	0x0023EAF0
HordeGarrisonContain	ModuleFactory::init	mapAssign	0x0012D0CE	0x00C90A30	0x001160C0	0x00116140	0x5F	0x9BC	0x00248F90
HordeMemberCollide	ModuleFactory::init	addModuleInternal	0x0012FC03	0x00C8FC60	0x0011ED40	0x00124890	0x10	0x14	0x002167A0
HordeSiegeEngineContain	ModuleFactory::init	mapAssign	0x0012CFC6	0x00C90A78	0x001163F0	0x00116470	0x5F	0x108	0x0024A560
HordeTransportContain	ModuleFactory::init	mapAssign	0x0012D076	0x00C90A4C	0x00115F30	0x00115FB0	0x5F	0xEC	0x0024B6F0
HordeWorkerAIUpdate	ModuleFactory::init	mapAssign	0x0012E302	0x00C9055C	0x0011A720	0x00124080	0x11	0x354	0x002C4A70
HorseHordeContain	ModuleFactory::init	mapAssign	0x0012CE02	0x00C90AE8	0x00115E70	0x00122FD0	0x5F	0x224	0x0024D220
ImmortalBody	ModuleFactory::init	addModuleInternal	0x0012FEA2	0x00C8FB74	0x0011F530	0x0011F420	0x20	0xE0	0x00213990
InactiveBody	ModuleFactory::init	addModuleInternal	0x0012FDEB	0x00C8FBA8	0x0011F320	0x00113BE0	0x20	0x1C	0x00213BF0
InstantDeathBehavior	ModuleFactory::init	mapAssign	0x0012C98A	0x00C90C0C	0x00115360	0x001153E0		0x14	0x00200BA0
KeepObjectDie	ModuleFactory::init	mapAssign	0x0012D85A	0x00C90828	0x00117BC0	0x00125340		0x14	0x00255870
LargeGroupAudioUpdate	ModuleFactory::init	addModuleInternal	0x0012E959	0x00C90304	0x0011C200	0x0011C280	0x1	0x68	0x00296C80
LargeGroupBonusUpdate	ModuleFactory::init	mapAssign	0x0012DC7A	0x00C906EC	0x00118B30	0x00118BB0		0x2C	0x00297640
LaserUpdate	ModuleFactory::init	mapAssign	0x0012E3B2	0x00C90534	0x00118D70	0x00118DF0	0x800	0x54	0x00603790
LevelGrantSpecialPower	ModuleFactory::init	addModuleInternal	0x00130187	0x00C8FA58	0x0011FF90	0x00120010	0x1	0xE8	0x0025FD20
LevelUpUpgrade	ModuleFactory::init	addModuleInternal	0x0012F2F6	0x00C8FFA4	0x0011D320	0x0012B320	0x84	0x1C	0x002D5F10
LifetimeUpdate	ModuleFactory::init	mapAssign	0x0012DD82	0x00C906AC	0x0011A2D0	0x0011A350		0x28	0x002980A0
LockWeaponCreate	ModuleFactory::init	addModuleInternal	0x0012F8AD	0x00C8FD94	0x0011E2D0	0x0011E350	0x8	0x18	0x0024FC20
LocomotorSetUpgrade	ModuleFactory::init	addModuleInternal	0x0012F436	0x00C8FF38	0x0011D3A0	0x0012B430	0x84	0x1C	0x002D6160
ManTheWallsSpecialPower	ModuleFactory::init	addModuleInternal	0x001305BE	0x00C8F8A4	0x001211E0	0x00121260	0x100	0x2C	0x00260600
MaxHealthUpgrade	ModuleFactory::init	addModuleInternal	0x0012F5F6	0x00C8FEA0	0x0011DC00	0x0011DC80	0x84	0x1C	0x002D63A0
ModelConditionSoundSelectorClientBehavior	ModuleFactory::init	addModuleInternal	0x00130882	0x00C8E57C	0x00126190	0x00121E30	0x1000	0x10	0x00113DA0
ModelConditionSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E7AE	0x00C903F8	0x00118FF0	0x00119070	0x1	0xE8	0x00298320
ModelConditionUpgrade	ModuleFactory::init	addModuleInternal	0x0012F636	0x00C8FE84	0x0011DD10	0x0011DD90	0x84	0x1C	0x002D66D0
MoneyCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FC7D	0x00C8FC34	0x0011EF00	0x00127020	0x10	0x18	0x00217D10
MonsterDockUpdate	ModuleFactory::init	addModuleInternal	0x0012EBBE	0x00C9021C	0x0011B160	0x0011B1E0	0x1	0x90	0x002CDA30
OCLSpecialPower	ModuleFactory::init	addModuleInternal	0x00130204	0x00C8FA28	0x001201B0	0x00120230	0x100	0x2C	0x002628E0
OCLUpdate	ModuleFactory::init	addModuleInternal	0x0012EA4D	0x00C9029C	0x0011A7C0	0x0011A840	0x1	0x28	0x00298960
OathbreakerBody	ModuleFactory::init	addModuleInternal	0x00130010	0x00C8FAF8	0x0011FB60	0x0011F420	0x20	0xE0	0x00213F30
OathbreakersFadeAwayBehavior	ModuleFactory::init	mapAssign	0x0012CBF2	0x00C90B68	0x0011E250	0x001246F0		0x28	0x00201BB0
ObjectCreationUpgrade	ModuleFactory::init	addModuleInternal	0x0012F476	0x00C8FF1C	0x0011D420	0x0011D4A0	0x81	0x30	0x002D6D90
OneRingPenaltyUpdate	ModuleFactory::init	mapAssign	0x0012DDDA	0x00C90690	0x0011A3E0	0x0011A460		0x34	0x00298E10
OpenContain	ModuleFactory::init	mapAssign	0x0012CB42	0x00C90BA4	0x00115960	0x001159E0	0x5F	0xD4	0x002277A0
PartTheHeavensUpdate	ModuleFactory::init	mapAssign	0x0012DF92	0x00C9060C	0x0011C530	0x0011C5B0		0x28	0x002999D0
PassiveAreaEffectBehavior	ModuleFactory::init	addModuleInternal	0x0012F7F6	0x00C8FDE4	0x001175D0	0x00117650	0x1	0x28	0x00202100
PhysicsBehavior	ModuleFactory::init	mapAssign	0x0012C932	0x00C90C28	0x0011A9F0	0x0011AA70		0x60	0x0029A880
PlayerHealSpecialPower	ModuleFactory::init	addModuleInternal	0x0013063E	0x00C8F868	0x00121400	0x00121480	0x100	0x2C	0x002639D0
PlayerUpgradeSpecialPower	ModuleFactory::init	addModuleInternal	0x001305FE	0x00C8F884	0x001212F0	0x00121370	0x100	0x2C	0x00263F50
PoisonedBehavior	ModuleFactory::init	mapAssign	0x0012D336	0x00C90970	0x00117050	0x001170D0		0x34	0x002029F0
PorcupineFormationBodyModule	ModuleFactory::init	addModuleInternal	0x0013004D	0x00C8FAD4	0x0011FBE0	0x0011FC60	0x20	0xE0	0x00214170
PreorderCreate	ModuleFactory::init	addModuleInternal	0x0012F8EA	0x00C8FD80	0x0011E700	0x00113BE0	0x8	0x18	0x0024FE70
ProductionSpeedBonus	ModuleFactory::init	addModuleInternal	0x001301C4	0x00C8FA3C	0x001200A0	0x00120120	0x100	0x2C	0x00264450
ProductionUpdate	ModuleFactory::init	addModuleInternal	0x0012ECB2	0x00C901C4	0x0011AC10	0x0011AC90	0x3	0xE8	0x0029C9E0
ProneUpdate	ModuleFactory::init	addModuleInternal	0x0012ECEF	0x00C901B4	0x0011AD30	0x0011ADB0	0x1	0x24	0x0029FE70
PropagandaTowerBehavior	ModuleFactory::init	mapAssign	0x0012D22E	0x00C909C8	0x00116E10	0x00116E90		0x30	0x00202F40
QueueProductionExitUpdate	ModuleFactory::init	addModuleInternal	0x0012E6B7	0x00C90470	0x0011AE40	0x001241B0	0x1	0x44	0x002D0620
RadarUpdate	ModuleFactory::init	addModuleInternal	0x0012EE9A	0x00C90114	0x0011AEC0	0x00124240	0x1	0x28	0x002A01E0
RadarUpgrade	ModuleFactory::init	addModuleInternal	0x0012F3F6	0x00C8FF50	0x0011D540	0x0012B530	0x84	0x1C	0x002D7AA0
RadiusDecalUpdate	ModuleFactory::init	mapAssign	0x0012DE8A	0x00C9065C	0x0011A580	0x00123E50		0x34	0x002A0640
RainOfFireUpdate	ModuleFactory::init	mapAssign	0x0012DEE2	0x00C90648	0x0011C310	0x0011C390		0x38	0x002A0920
RampageBehavior	ModuleFactory::init	mapAssign	0x0012C5C2	0x00C90D1C	0x001149C0	0x00114A40		0x2C	0x00203C20
RandomSoundSelectorClientBehavior	ModuleFactory::init	addModuleInternal	0x00130904	0x00C8F754	0x00122040	0x0012BE60	0x1000	0x18	0x00607A30
ReflectDamage	ModuleFactory::init	addModuleInternal	0x0012FAD2	0x00C8FCC8	0x0011E900	0x0011E980	0x4	0x14	0x002516F0
RefundDie	ModuleFactory::init	mapAssign	0x0012D6FA	0x00C9087C	0x001176E0	0x001232C0		0x14	0x00255A80
RepairDockUpdate	ModuleFactory::init	addModuleInternal	0x0012E6F4	0x00C9045C	0x0011B050	0x0011B0D0	0x1	0x90	0x002CED20
RepairSpecialPower	ModuleFactory::init	addModuleInternal	0x001306FE	0x00C8F818	0x00121730	0x001217B0	0x100	0x2C	0x002647F0
ReplenishUnitsBehavior	ModuleFactory::init	mapAssign	0x0012D492	0x00C908EC	0x001173A0	0x00117420	0x81	0x28	0x002044E0
RespawnBody	ModuleFactory::init	addModuleInternal	0x0013008A	0x00C8FAC4	0x0011F720	0x0011F7A0	0x20	0xE0	0x00214650
RespawnUpdate	ModuleFactory::init	addModuleInternal	0x0012F082	0x00C85FFC	0x0011CC00	0x0011CC80	0x1	0x44	0x002A1510
RiderChangeContain	ModuleFactory::init	mapAssign	0x0012D17E	0x00C90A00	0x001166D0	0x00116750	0x5F	0x110	0x00229FB0
RousingSpeechUpdate	ModuleFactory::init	addModuleInternal	0x0012EC38	0x00C901F4	0x0011C640	0x0011C6C0	0x1	0xFC	0x00264BF0
RubbleRiseUpdate	ModuleFactory::init	addModuleInternal	0x0012EE20	0x00C90134	0x0011B6C0	0x00127BD0	0x3	0x48	0x002A3640
RunOffMapBehavior	ModuleFactory::init	mapAssign	0x0012D43E	0x00C90908	0x001158E0	0x001267E0		0x14	0x00205060
SalvageCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FD71	0x00C8FBD4	0x0011F190	0x001260D0	0x10	0x18	0x00218030
ScavengerSpecialPower	ModuleFactory::init	addModuleInternal	0x001302C4	0x00C8F9C8	0x001204E0	0x00120560	0x100	0x2C	0x002658B0
ShareExperienceBehavior	ModuleFactory::init	mapAssign	0x0012E56B	0x00C904BC	0x00116BF0	0x00116C70		0x24	0x00205740
ShroudCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FCBA	0x00C8FC1C	0x0011EF80	0x0011EDC0	0x10	0x18	0x00218620
SiegeAIUpdate	ModuleFactory::init	mapAssign	0x0012E1FA	0x00C9059C	0x00118C40	0x00118CC0	0x11	0x340	0x002C5330
SiegeDeployHordeSpecialPower	ModuleFactory::init	addModuleInternal	0x001304C4	0x00C8F900	0x00120D70	0x00120DF0	0x101	0x4C	0x00265B20
SiegeDeploySpecialPower	ModuleFactory::init	addModuleInternal	0x00130484	0x00C8F924	0x00120C60	0x00120CE0	0x101	0x74	0x00266240
SiegeDockingBehavior	ModuleFactory::init	mapAssign	0x0012C77A	0x00C90CA4	0x00114E00	0x00114E80		0x34	0x002062C0
SiegeEngineContain	ModuleFactory::init	mapAssign	0x0012CF6E	0x00C90A94	0x001162E0	0x00116360	0x5F	0x100	0x0022BC50
